team,playerName,0/1 Step,3 Step,5 Step,7 Step
DAL,Ezekiel Elliott,0.95,1.5611111111111111,1.7933333333333332,1.925
DAL,James Washington,,1.6562500000000002,,
DAL,Michael Gallup,1.3142857142857145,1.975,1.1375000000000002,0.9666666666666668
DAL,Tony Pollard,1.7555555555555555,1.2133333333333334,1.8875,1.7000000000000004
DEN,Albert Okwuegbunam,1.6200000000000003,,1.2125,1.5
DEN,Courtland Sutton,1.1461538461538459,1.4416666666666669,1.6200000000000003,1.3692307692307693
DEN,Javonte Williams,2.553333333333333,,1.7600000000000002,0.9166666666666669
DEN,Jerry Jeudy,1.3923076923076925,1.5916666666666666,1.5875,1.925
DEN,Kendall Hinton,,1.7083333333333333,,
DEN,Tim Patrick,1.5956521739130434,1.9,1.3217391304347823,2.481818181818181
DET,Amon-Ra St. Brown,1.364285714285714,1.8366666666666664,1.5272727272727271,3.3083333333333336
DET,D'Andre Swift,1.3111111111111111,1.2625000000000002,1.4222222222222218,0.9499999999999998
DET,Jamaal Williams,,,,2.16
DET,Jason Cabinda,,,,1.4
DET,Josh Reynolds,1.4090909090909092,1.809523809523809,1.2888888888888892,1.1800000000000002
DET,Kalif Raymond,1.7307692307692308,1.9888888888888887,0.9846153846153846,1.1285714285714286
DET,Quintez Cephus,,1.48,,
DET,T.J. Hockenson,1.2666666666666668,1.7595238095238102,2.0785714285714287,0.9
DET,Trinity Benson,,0.51875,,
GB,Aaron Jones,1.8263157894736843,2.1,3.1333333333333333,1.975
GB,Allen Lazard,2.8666666666666667,2.074074074074074,1.92,0.55
GB,Josiah Deguara,,,,1.0
GB,Marcedes Lewis,,,0.9000000000000001,2.35
GB,Randall Cobb,,2.1736842105263157,3.6222222222222222,
GB,Robert Tonyan,,,2.41,
GB,Sammy Watkins,0.955,2.052941176470588,1.0777777777777775,3.45
HOU,Brandin Cooks,1.2620689655172417,1.8690909090909087,1.8181818181818183,0.6666666666666666
HOU,Brevin Jordan,,,1.15,3.1333333333333333
HOU,Chris Conley,1.1125000000000005,2.2692307692307696,0.9333333333333336,
HOU,Chris Moore,1.4,,,
HOU,Nico Collins,1.22,0.990909090909091,1.6,2.4000000000000004
HOU,Pharaoh Brown,1.0875,,,
HOU,Phillip Dorsett,,,,0.0
HOU,Rex Burkhead,2.028571428571429,1.6249999999999998,,1.0666666666666669
IND,Ashton Dulin,,,,4.125
IND,Jonathan Taylor,,1.152631578947369,,2.1888888888888887
IND,Michael Pittman Jr.,1.6878787878787875,1.871428571428572,2.0625000000000004,2.7142857142857144
IND,Mo Alie-Cox,0.8285714285714285,1.6523809523809525,0.3857142857142857,3.8333333333333335
IND,Nyheim Hines,1.7181818181818185,1.076190476190476,1.19,
IND,Parris Campbell,,,2.7,
JAX,Christian Kirk,1.8703703703703702,1.9096774193548385,2.1666666666666665,5.233333333333333
JAX,Dan Arnold,1.6142857142857143,1.188,1.6583333333333334,1.6333333333333335
JAX,Evan Engram,1.2692307692307692,1.25,1.1733333333333331,3.4799999999999995
JAX,Jamal Agnew,,1.19375,0.6625000000000001,
JAX,James Robinson,1.2714285714285716,1.3000000000000005,,1.322222222222222
JAX,Laquon Treadwell,2.2,1.5400000000000005,1.2083333333333333,1.88
JAX,Zay Jones,1.9500000000000004,1.6809523809523808,1.3714285714285712,3.5250000000000004
KC,Clyde Edwards-Helaire,1.4428571428571428,,,0.95
KC,Jerick McKinnon,2.542857142857143,,,
KC,JuJu Smith-Schuster,2.3142857142857145,0.8214285714285713,,
KC,Marquez Valdes-Scantling,,1.6,2.021428571428572,
KC,Mecole Hardman,2.2954545454545454,2.1608695652173915,1.4857142857142858,0.0
KC,Travis Kelce,3.03,2.280701754385965,2.8000000000000003,1.8500000000000003
LAC,Austin Ekeler,2.3190476190476192,1.955555555555556,1.4206896551724142,1.9
LAC,DeAndre Carter,0.7666666666666666,1.93,1.725,
LAC,Gerald Everett,1.5359999999999996,,2.716666666666667,4.15
LAC,Jalen Guyton,1.6300000000000003,,1.3611111111111112,
LAC,Keenan Allen,1.166666666666667,1.591836734693877,2.3000000000000003,1.958333333333334
LAC,Mike Williams,1.4822222222222223,1.6814814814814818,2.5565217391304347,1.27
LAR,Ben Skowronek,,,,1.7
