team,playerName,Combination,Cover 0,Cover 1,Cover 2,Cover 3,Cover 4,Cover 6,Man Cover 2,No Video,Other,Prevent,Screen,Tampa 2
LAR,John Wolford,,,0.0,,-0.3333333333333333,,,,,,,,
LAR,Matthew Stafford,0.4133333333333333,0.7742857142857144,0.7248695652173911,0.7895081967213113,0.36911392405063304,0.3063888888888888,0.72,0.21767441860465114,0.6631578947368421,0.58,-0.22,0.14880000000000002,0.15999999999999998
LV,Derek Carr,,0.5844444444444444,0.5425698324022344,0.36679245283018863,0.3574509803921568,0.3103225806451613,0.04727272727272727,0.26274509803921564,0.26666666666666666,0.0,0.14400000000000002,0.22,0.36
LV,Nick Mullens,,,0.624,0.0,0.19272727272727275,,,,,,,0.12,
MIA,Teddy Bridgewater,0.35,0.6559999999999999,0.4538317757009346,0.4062222222222223,0.3206349206349205,0.29959183673469386,0.3428571428571429,0.252,,0.88,0.488888888888889,0.136,0.3733333333333333
MIA,Tua Tagovailoa,,1.11,0.2504347826086956,0.13625000000000004,0.4011428571428571,0.2568,0.19333333333333336,0.2273684210526316,0.0,,0.32,0.18000000000000005,0.3333333333333333
MIN,Kellen Mond,,,,0.0,,,,,0.24,,,,
MIN,Kirk Cousins,0.0,1.765,0.5518584070796461,0.2382608695652173,0.5187969924812033,0.29924050632911386,0.4799999999999999,0.232,0.0,,0.12444444444444445,0.256923076923077,1.0550000000000002
MIN,Sean Mannion,,,0.34,0.04,0.52,0.19000000000000006,0.09333333333333334,0.08571428571428573,,,,0.0,
NE,Brian Hoyer,,,1.1714285714285717,,0.56,,1.92,,,,,1.84,
NE,Mac Jones,,0.09142857142857144,0.4076073619631901,0.3505263157894738,0.3333333333333333,0.2635897435897435,0.6400000000000001,0.2674285714285713,0.24000000000000005,0.0,0.28,0.2658823529411765,0.5876923076923077
NO,Andy Dalton,0.22,0.7085714285714285,0.3627586206896552,0.1963636363636364,0.3227586206896552,0.31520000000000004,0.21333333333333332,0.09333333333333334,0.19,0.37333333333333335,0.36,0.20857142857142855,0.19
NO,Ian Book,,0.68,0.51,0.04,0.14666666666666667,-0.12,0.0,-0.3333333333333333,,,,,0.12
NO,Jameis Winston,,2.28,0.6614634146341464,0.15368421052631584,0.5627272727272726,0.7547826086956522,0.54,0.12,,,0.0,0.6633333333333334,0.24
NO,Taysom Hill,1.2,0.0,0.6980000000000001,0.01,0.3648780487804879,0.05,0.0,0.76,0.0,,,0.16,0.02
NYG,Daniel Jones,,0.33,0.4512359550561798,0.2344827586206897,0.2780487804878048,0.26042553191489365,0.226,0.22000000000000006,0.68,,-0.08000000000000003,0.136,0.29500000000000004
NYG,Tyrod Taylor,0.32,0.8079999999999999,0.424,0.24888888888888885,0.2525,0.4063157894736842,0.07,0.2,,,0.14400000000000002,0.5266666666666667,0.16
NYJ,Joe Flacco,,1.44,0.3942857142857143,0.88,0.21818181818181825,0.28444444444444444,,1.62,,,,,0.0
NYJ,Mike White,,1.5200000000000002,0.12,0.25666666666666665,0.3208510638297873,0.38105263157894737,2.026666666666667,-0.17333333333333334,,,,0.28,0.11200000000000003
NYJ,Zach Wilson,0.2533333333333333,0.0,0.2088,0.35217391304347817,0.3078095238095238,0.203,0.18222222222222226,0.3600000000000001,0.22,1.04,0.22,0.14545454545454548,0.2977777777777778
PHI,Gardner Minshew,0.28,,0.43,0.19,1.28,0.22,0.08,,0.4,,,1.74,0.0
PHI,Greg Ward,,,,,,,,,,,,0.08,
PHI,Jalen Hurts,0.10666666666666667,1.1111111111111112,0.3676923076923077,0.2378378378378378,0.35424,0.3393749999999999,0.225,0.3771428571428571,0.12,,0.0,0.25209302325581395,0.155
PIT,Mason Rudolph,,0.0,0.2945454545454545,0.25454545454545463,0.4092307692307693,0.19333333333333336,,0.12,,,0.0,-0.013333333333333345,0.16
SEA,Drew Lock,1.12,1.8266666666666669,0.3554285714285715,0.325,0.24903225806451615,0.3044444444444445,0.52,0.20666666666666667,,,0.232,0.2,
SEA,Geno Smith,,1.05,1.0763636363636364,0.19333333333333336,0.4674285714285713,0.11809523809523813,0.3466666666666667,0.22400000000000006,,,0.0,-0.1,0.12
SEA,Jacob Eason,,,,,-1.0,0.0,,,,,0.20000000000000004,,
SF,Jimmy Garoppolo,,1.315,0.3360000000000001,0.4333333333333335,0.4020512820512822,0.4063157894736842,0.2666666666666666,0.4606451612903226,0.12,0.28,0.0,0.5005405405405405,0.335
SF,Trey Lance,,0.08,0.14400000000000002,0.2066666666666667,0.7085714285714287,0.28,0.272,,,,,1.0240000000000002,0.08
TB,Blaine Gabbert,,,0.3066666666666667,,0.0,0.0,,,,,,0.2933333333333333,
TB,Tom Brady,3.61,1.18,0.4472727272727274,0.371219512195122,0.3854945054945055,0.2934615384615384,0.8290909090909092,0.4963636363636363,0.2,0.22,0.18285714285714288,0.284516129032258,0.7076923076923076
TEN,Ryan Tannehill,0.34,0.9230769230769232,0.34229508196721314,0.3486486486486487,0.26921052631578946,0.298125,0.15789473684210525,0.09043478260869564,0.0,,0.17333333333333334,0.2914285714285714,0.104
WAS,Carson Wentz,0.72,1.3733333333333335,0.1953571428571428,0.6263829787234043,0.425625,0.3113924050632911,0.2777777777777778,0.3828571428571429,0.14666666666666667,0.6,-0.2,0.2690909090909091,0.24
WAS,Taylor Heinicke,0.08,0.12,0.4175700934579442,0.20218181818181824,0.3519999999999999,0.2854054054054053,0.28235294117647064,0.44,0.05,,-0.2333333333333333,0.11999999999999998,0.2733333333333333
