team,playerName,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
DET,D'Andre Swift,Left Off-Tackle Gap Unknown,14.000000000000002,0,0,14.000000000000002,0.4516129032258065
DET,D'Andre Swift,Right A Gap,8.000000000000002,6,0,13.999999999999998,0.5185185185185185
DET,D'Andre Swift,Right D Gap,6.5,0,0,6.5,0.2826086956521739
DET,D'Andre Swift,Right Off-Tackle Gap Unknown,15.8,12,0,27.8,1.2086956521739132
CLE,D'Ernest Johnson,Left A Gap,1.6,0,0,1.6,0.2285714285714286
CLE,D'Ernest Johnson,Left D Gap,3.3,6,0,9.3,1.1625
CLE,D'Ernest Johnson,Left Off-Tackle Gap Unknown,16.3,6,0,22.3,0.8576923076923078
CLE,D'Ernest Johnson,Right A Gap,5.6000000000000005,0,0,5.6000000000000005,0.5090909090909091
CLE,D'Ernest Johnson,Right D Gap,11.6,0,0,11.6,0.6444444444444444
CLE,D'Ernest Johnson,Right Off-Tackle Gap Unknown,18.100000000000005,6,0,24.10000000000001,0.6885714285714288
CAR,D'Onta Foreman,Left A Gap,9.100000000000001,6,0,15.100000000000003,0.838888888888889
CAR,D'Onta Foreman,Left D Gap,2.6000000000000005,0,0,2.6000000000000005,0.26000000000000006
CAR,D'Onta Foreman,Left Off-Tackle Gap Unknown,26.700000000000003,6,-1,31.7,0.6215686274509804
CAR,D'Onta Foreman,Middle,-0.5,0,0,-0.5,-0.5
CAR,D'Onta Foreman,Right A Gap,4.500000000000001,0,0,4.500000000000001,0.26470588235294124
CAR,D'Onta Foreman,Right D Gap,7.300000000000001,0,0,7.300000000000001,0.6636363636363637
CAR,D'Onta Foreman,Right Off-Tackle Gap Unknown,18.099999999999998,12,0,30.09999999999999,0.8361111111111108
CAR,DJ Moore,Left D Gap,2.6,0,0,2.6,0.8666666666666667
CAR,DJ Moore,Right D Gap,0.8,0,0,0.8,0.26666666666666666
CAR,DJ Moore,Right Off-Tackle Gap Unknown,1.4,0,0,1.4,0.7
SEA,DK Metcalf,Left D Gap,0.6000000000000001,0,0,0.6000000000000001,0.6000000000000001
DAL,Dak Prescott,Left A Gap,2.3000000000000003,0,0,2.3000000000000003,0.5750000000000001
DAL,Dak Prescott,Left D Gap,8.7,12,0,20.7,1.5923076923076922
DAL,Dak Prescott,Left Off-Tackle Gap Unknown,2.9000000000000004,0,0,2.9000000000000004,0.7250000000000001
DAL,Dak Prescott,Middle,-0.5999999999999999,0,-2,-2.6000000000000005,-0.13684210526315793
DAL,Dak Prescott,Right A Gap,1.8000000000000003,0,-1,0.8000000000000002,0.11428571428571431
DAL,Dak Prescott,Right D Gap,1.6,0,0,1.6,0.4
DAL,Dak Prescott,Right Off-Tackle Gap Unknown,0.7,0,0,0.7,0.2333333333333333
MIN,Dalvin Cook,Left A Gap,16.1,6,0,22.099999999999998,0.5666666666666667
MIN,Dalvin Cook,Left D Gap,16.3,6,0,22.300000000000004,0.6968750000000001
MIN,Dalvin Cook,Left Off-Tackle Gap Unknown,32.0,6,0,38.00000000000001,0.690909090909091
MIN,Dalvin Cook,Right A Gap,13.099999999999998,0,0,13.099999999999998,0.3638888888888888
MIN,Dalvin Cook,Right D Gap,20.200000000000003,12,0,32.199999999999996,0.8702702702702702
MIN,Dalvin Cook,Right Off-Tackle Gap Unknown,23.5,6,-2,27.5,0.4583333333333333
NE,Damien Harris,Left A Gap,12.400000000000002,18,0,30.400000000000006,1.0857142857142859
