,team,playerName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
18,NE,Brian Hoyer,Man,13,1.88,0,0,1.88,0.14461538461538462,13,23,0.5652173913043478
19,NE,Brian Hoyer,Zone,10,2.8000000000000003,0,-1,1.8,0.18,10,23,0.43478260869565216
20,JAX,C.J. Beathard,Man,39,7.320000000000001,4,0,11.32,0.29025641025641025,39,108,0.3611111111111111
21,JAX,C.J. Beathard,Other,7,1.3200000000000003,0,0,1.3200000000000003,0.1885714285714286,7,108,0.06481481481481481
22,JAX,C.J. Beathard,Zone,62,18.040000000000003,8,0,26.040000000000003,0.42000000000000004,62,108,0.5740740740740741
23,WAS,Carson Wentz,Man,196,38.039999999999985,32,-3,67.04000000000002,0.3420408163265307,196,438,0.4474885844748858
24,WAS,Carson Wentz,Other,30,4.04,0,-2,2.04,0.068,30,438,0.0684931506849315
25,WAS,Carson Wentz,Zone,212,53.27999999999998,24,-11,66.28,0.3126415094339623,212,438,0.4840182648401826
26,BUF,Case Keenum,Man,7,1.76,0,0,1.76,0.25142857142857145,7,7,1.0
27,KC,Chad Henne,Man,11,1.3599999999999999,0,0,1.3599999999999999,0.12363636363636363,11,32,0.34375
28,KC,Chad Henne,Other,2,-0.08,0,0,-0.08,-0.04,2,32,0.0625
29,KC,Chad Henne,Zone,19,5.880000000000001,4,-1,8.880000000000003,0.4673684210526317,19,32,0.59375
30,LAC,Chase Daniel,Man,9,2.48,0,-1,1.48,0.16444444444444445,9,42,0.21428571428571427
31,LAC,Chase Daniel,Other,11,2.68,0,0,2.68,0.24363636363636365,11,42,0.2619047619047619
32,LAC,Chase Daniel,Zone,22,4.880000000000002,0,-1,3.8800000000000012,0.17636363636363642,22,42,0.5238095238095238
33,ARI,Colt McCoy,Man,25,5.680000000000001,0,-1,4.68,0.18719999999999998,25,64,0.390625
34,ARI,Colt McCoy,Other,3,0.6399999999999999,0,0,0.6399999999999999,0.2133333333333333,3,64,0.046875
35,ARI,Colt McCoy,Zone,36,8.720000000000002,0,0,8.720000000000002,0.24222222222222228,36,64,0.5625
36,DAL,Dak Prescott,Man,76,26.880000000000003,12,-1,37.879999999999995,0.4984210526315789,76,189,0.4021164021164021
37,DAL,Dak Prescott,Other,16,1.36,0,-1,0.36000000000000015,0.02250000000000001,16,189,0.08465608465608465
38,DAL,Dak Prescott,Zone,97,38.60000000000001,24,-2,60.599999999999994,0.624742268041237,97,189,0.5132275132275133
39,NYG,Daniel Jones,Man,204,47.080000000000005,32,-4,75.07999999999997,0.36803921568627435,204,460,0.4434782608695652
40,NYG,Daniel Jones,Other,27,6.800000000000002,0,0,6.800000000000002,0.25185185185185194,27,460,0.058695652173913045
41,NYG,Daniel Jones,Zone,229,58.519999999999975,16,-6,68.51999999999997,0.2992139737991265,229,460,0.49782608695652175
42,DET,David Blough,Man,4,1.3599999999999999,0,-1,0.3599999999999999,0.08999999999999997,4,11,0.36363636363636365
43,DET,David Blough,Zone,7,0.32,0,0,0.32,0.045714285714285714,7,11,0.6363636363636364
44,LV,Derek Carr,Man,230,62.879999999999974,60,-3,119.87999999999997,0.5212173913043476,230,505,0.45544554455445546
45,LV,Derek Carr,Other,30,9.760000000000003,4,0,13.76,0.45866666666666667,30,505,0.0594059405940594
46,LV,Derek Carr,Zone,245,81.75999999999996,36,-7,110.75999999999999,0.45208163265306117,245,505,0.48514851485148514
47,CLE,Deshaun Watson,Man,230,67.60000000000001,64,-3,128.5999999999999,0.5591304347826083,230,523,0.4397705544933078
48,CLE,Deshaun Watson,Other,55,18.839999999999996,4,0,22.840000000000003,0.41527272727272735,55,523,0.10516252390057361
49,CLE,Deshaun Watson,Zone,238,79.79999999999994,36,-4,111.79999999999997,0.46974789915966375,238,523,0.45506692160611856
50,SEA,Drew Lock,Man,188,42.319999999999986,12,-7,47.31999999999999,0.25170212765957445,188,406,0.4630541871921182
51,SEA,Drew Lock,Other,41,10.279999999999998,4,-1,13.28,0.32390243902439025,41,406,0.10098522167487685
52,SEA,Drew Lock,Zone,177,40.99999999999998,28,-7,62.0,0.3502824858757062,177,406,0.43596059113300495
53,PHI,Gardner Minshew,Man,162,43.03999999999998,44,-4,83.03999999999998,0.5125925925925925,162,337,0.4807121661721068
54,PHI,Gardner Minshew,Other,22,6.880000000000001,0,0,6.880000000000001,0.31272727272727274,22,337,0.06528189910979229
55,PHI,Gardner Minshew,Zone,153,35.839999999999996,16,-2,49.839999999999996,0.3257516339869281,153,337,0.4540059347181009
56,SEA,Geno Smith,Man,1,0.0,0,0,0.0,0.0,1,4,0.25
57,SEA,Geno Smith,Other,1,0.24,0,0,0.24,0.24,1,4,0.25
58,SEA,Geno Smith,Zone,2,0.4,0,0,0.4,0.2,2,4,0.5
59,CLE,Jacoby Brissett,Man,1,0.52,0,0,0.52,0.52,1,8,0.125
60,CLE,Jacoby Brissett,Other,2,0.16,0,0,0.16,0.08,2,8,0.25
61,CLE,Jacoby Brissett,Zone,5,0.0,0,0,0.0,0.0,5,8,0.625
62,JAX,Jake Luton,Man,49,8.32,0,-3,5.320000000000001,0.1085714285714286,49,106,0.46226415094339623
63,JAX,Jake Luton,Other,6,0.56,0,0,0.56,0.09333333333333334,6,106,0.05660377358490566
64,JAX,Jake Luton,Zone,51,12.88,8,-3,17.879999999999995,0.35058823529411753,51,106,0.4811320754716981
65,PHI,Jalen Hurts,Man,49,8.64,8,-2,14.64,0.29877551020408166,49,140,0.35
66,PHI,Jalen Hurts,Other,31,7.880000000000002,4,-2,9.88,0.31870967741935485,31,140,0.22142857142857142
67,PHI,Jalen Hurts,Zone,60,18.440000000000005,4,0,22.439999999999998,0.37399999999999994,60,140,0.42857142857142855
68,NO,Jameis Winston,Man,10,1.6400000000000001,0,0,1.6400000000000001,0.164,10,13,0.7692307692307693
69,NO,Jameis Winston,Other,1,0.12,0,0,0.12,0.12,1,13,0.07692307692307693
70,NO,Jameis Winston,Zone,2,1.24,0,0,1.24,0.62,2,13,0.15384615384615385
71,DET,Jared Goff,Man,185,42.68,48,-6,84.67999999999998,0.45772972972972964,185,510,0.3627450980392157
72,DET,Jared Goff,Other,49,9.88,4,0,13.879999999999997,0.28326530612244893,49,510,0.09607843137254903
73,DET,Jared Goff,Zone,276,82.75999999999996,20,-4,98.75999999999992,0.35782608695652146,276,510,0.5411764705882353
74,LV,Jarrett Stidham,Man,18,2.88,0,-2,0.8800000000000001,0.0488888888888889,18,43,0.4186046511627907
75,LV,Jarrett Stidham,Other,2,0.24,0,0,0.24,0.12,2,43,0.046511627906976744
76,LV,Jarrett Stidham,Zone,23,5.28,8,-2,11.280000000000001,0.4904347826086957,23,43,0.5348837209302325
77,HOU,Jeff Driskel,Man,29,8.279999999999998,4,-1,11.279999999999998,0.38896551724137923,29,67,0.43283582089552236
78,HOU,Jeff Driskel,Other,2,1.12,0,0,1.12,0.56,2,67,0.029850746268656716
79,HOU,Jeff Driskel,Zone,36,6.200000000000002,8,-1,13.2,0.36666666666666664,36,67,0.5373134328358209
80,SF,Jimmy Garoppolo,Man,56,19.759999999999998,20,-3,36.76,0.6564285714285714,56,134,0.417910447761194
81,SF,Jimmy Garoppolo,Other,12,6.04,4,0,10.040000000000003,0.8366666666666669,12,134,0.08955223880597014
82,SF,Jimmy Garoppolo,Zone,66,13.479999999999999,4,-3,14.479999999999999,0.21939393939393936,66,134,0.4925373134328358
83,CIN,Joe Burrow,Man,166,43.76,36,-5,74.76,0.4503614457831326,166,398,0.41708542713567837
84,CIN,Joe Burrow,Other,25,5.5200000000000005,0,0,5.5200000000000005,0.22080000000000002,25,398,0.06281407035175879
85,CIN,Joe Burrow,Zone,207,49.40000000000001,16,-1,64.4,0.3111111111111111,207,398,0.5201005025125628
86,NYJ,Joe Flacco,Man,73,15.359999999999998,4,-2,17.36,0.23780821917808218,73,141,0.5177304964539007
87,NYJ,Joe Flacco,Other,8,1.72,0,0,1.72,0.215,8,141,0.05673758865248227
88,NYJ,Joe Flacco,Zone,60,15.72,20,-1,34.72,0.5786666666666667,60,141,0.425531914893617
89,LAR,John Wolford,Man,21,4.44,0,0,4.44,0.21142857142857144,21,40,0.525
90,LAR,John Wolford,Other,4,0.48,0,0,0.48,0.12,4,40,0.1
91,LAR,John Wolford,Zone,15,4.640000000000001,0,-1,3.64,0.24266666666666667,15,40,0.375
92,BUF,Josh Allen,Man,338,101.15999999999998,80,-6,175.16000000000017,0.5182248520710064,338,667,0.5067466266866567
93,BUF,Josh Allen,Other,57,14.6,24,0,38.6,0.6771929824561403,57,667,0.08545727136431784
94,BUF,Josh Allen,Zone,272,81.83999999999997,44,-6,119.83999999999997,0.44058823529411756,272,667,0.4077961019490255
95,CLE,Joshua Dobbs,Other,3,-0.039999999999999994,0,0,-0.039999999999999994,-0.01333333333333333,3,3,1.0
96,LAC,Justin Herbert,Man,257,66.87999999999998,48,-3,111.87999999999998,0.4353307392996108,257,560,0.4589285714285714
97,LAC,Justin Herbert,Other,53,14.52,8,0,22.520000000000003,0.42490566037735855,53,560,0.09464285714285714
98,LAC,Justin Herbert,Zone,250,74.88000000000001,48,-6,116.88000000000004,0.46752000000000016,250,560,0.44642857142857145
99,DEN,Kendall Hinton,Man,3,0.0,0,0,0.0,0.0,3,6,0.5
100,DEN,Kendall Hinton,Zone,3,0.0,0,-1,-1.0,-0.3333333333333333,3,6,0.5
101,MIN,Kirk Cousins,Man,211,63.719999999999985,56,-1,118.72000000000004,0.5626540284360192,211,481,0.4386694386694387
102,MIN,Kirk Cousins,Other,23,7.520000000000001,4,-3,8.52,0.3704347826086956,23,481,0.04781704781704782
103,MIN,Kirk Cousins,Zone,247,75.03999999999995,52,-7,120.03999999999999,0.48599190283400806,247,481,0.5135135135135135
104,HOU,Kyle Allen,Man,35,8.960000000000003,12,0,20.959999999999997,0.5988571428571428,35,77,0.45454545454545453
105,HOU,Kyle Allen,Other,3,0.2,0,0,0.2,0.06666666666666667,3,77,0.03896103896103896
106,HOU,Kyle Allen,Zone,39,11.040000000000001,4,-1,14.040000000000001,0.36000000000000004,39,77,0.5064935064935064
107,ARI,Kyler Murray,Man,175,47.32,36,-5,78.31999999999998,0.447542857142857,175,524,0.33396946564885494
108,ARI,Kyler Murray,Other,66,16.199999999999996,12,0,28.199999999999992,0.42727272727272714,66,524,0.12595419847328243
109,ARI,Kyler Murray,Zone,283,81.67999999999999,32,-6,107.67999999999995,0.38049469964664295,283,524,0.5400763358778626
110,BAL,Lamar Jackson,Man,106,24.800000000000004,28,-4,48.799999999999976,0.4603773584905658,106,377,0.28116710875331563
111,BAL,Lamar Jackson,Other,22,3.32,4,0,7.32,0.33272727272727276,22,377,0.058355437665782495
112,BAL,Lamar Jackson,Zone,249,79.59999999999998,56,-7,128.59999999999994,0.516465863453815,249,377,0.6604774535809018
113,TEN,Logan Woodside,Zone,2,0.0,0,0,0.0,0.0,2,2,1.0
114,ATL,Marcus Mariota,Man,3,1.16,0,0,1.16,0.38666666666666666,3,24,0.125
115,ATL,Marcus Mariota,Other,3,1.0,0,0,1.0,0.3333333333333333,3,24,0.125
116,ATL,Marcus Mariota,Zone,18,6.040000000000001,4,-1,9.04,0.5022222222222221,18,24,0.75
117,PIT,Mason Rudolph,Man,16,4.48,8,-1,11.48,0.7175,16,41,0.3902439024390244
118,PIT,Mason Rudolph,Other,2,0.36,0,0,0.36,0.18,2,41,0.04878048780487805
119,PIT,Mason Rudolph,Zone,23,8.160000000000002,0,0,8.160000000000002,0.35478260869565226,23,41,0.5609756097560976
120,BUF,Matt Barkley,Man,11,5.68,4,-1,8.68,0.7890909090909091,11,19,0.5789473684210527
121,BUF,Matt Barkley,Other,3,0.39999999999999997,0,0,0.39999999999999997,0.13333333333333333,3,19,0.15789473684210525
122,BUF,Matt Barkley,Zone,5,1.8,0,0,1.8,0.36,5,19,0.2631578947368421
123,IND,Matt Ryan,Man,299,71.55999999999999,40,-4,107.55999999999997,0.3597324414715718,299,631,0.47385103011093505
124,IND,Matt Ryan,Other,44,9.080000000000002,0,-2,7.080000000000003,0.16090909090909097,44,631,0.06973058637083994
125,IND,Matt Ryan,Zone,288,84.80000000000001,56,-6,134.79999999999998,0.4680555555555555,288,631,0.45641838351822506
126,LAR,Matthew Stafford,Man,221,59.88000000000003,40,-6,93.87999999999994,0.42479638009049747,221,525,0.42095238095238097
127,LAR,Matthew Stafford,Other,43,13.319999999999997,8,-1,20.319999999999997,0.4725581395348836,43,525,0.08190476190476191
128,LAR,Matthew Stafford,Zone,261,79.44000000000001,48,-5,122.44000000000001,0.4691187739463602,261,525,0.49714285714285716
129,SF,Nate Sudfeld,Man,6,0.4,0,-1,-0.6,-0.09999999999999999,6,12,0.5
130,SF,Nate Sudfeld,Other,2,0.44,0,0,0.44,0.22,2,12,0.16666666666666666
131,SF,Nate Sudfeld,Zone,4,0.44,0,0,0.44,0.11,4,12,0.3333333333333333
132,CHI,Nathan Peterman,Other,3,0.48,0,0,0.48,0.16,3,6,0.5
133,CHI,Nathan Peterman,Zone,3,0.36,0,0,0.36,0.12,3,6,0.5
134,IND,Nick Foles,Man,116,26.639999999999997,12,-4,34.639999999999986,0.2986206896551723,116,277,0.4187725631768953
135,IND,Nick Foles,Other,25,5.5600000000000005,0,0,5.5600000000000005,0.22240000000000001,25,277,0.09025270758122744
136,IND,Nick Foles,Zone,136,30.319999999999993,28,-3,55.320000000000014,0.40676470588235303,136,277,0.49097472924187724
137,LV,Nick Mullens,Man,115,30.919999999999998,20,-3,47.91999999999998,0.41669565217391286,115,319,0.3605015673981191
138,LV,Nick Mullens,Other,35,9.840000000000002,4,-1,12.840000000000003,0.36685714285714294,35,319,0.109717868338558
139,LV,Nick Mullens,Zone,169,47.360000000000014,20,-8,59.36000000000001,0.3512426035502959,169,319,0.5297805642633229
140,KC,Patrick Mahomes,Man,221,68.95999999999998,36,-2,102.96000000000005,0.4658823529411767,221,585,0.37777777777777777
141,KC,Patrick Mahomes,Other,47,20.080000000000002,28,-1,47.080000000000005,1.0017021276595746,47,585,0.08034188034188035
142,KC,Patrick Mahomes,Zone,317,92.67999999999992,48,-8,132.67999999999992,0.41854889589905336,317,585,0.5418803418803418
143,TB,Russell Gage,Man,1,0.0,0,0,0.0,0.0,1,1,1.0
144,DEN,Russell Wilson,Man,228,62.92,68,-4,126.92000000000004,0.5566666666666669,228,563,0.4049733570159858
145,DEN,Russell Wilson,Other,46,12.04,12,-2,22.04,0.4791304347826087,46,563,0.08170515097690942
146,DEN,Russell Wilson,Zone,289,78.76,52,-8,122.75999999999999,0.4247750865051903,289,563,0.5133214920071048
147,TEN,Ryan Tannehill,Man,232,56.47999999999998,60,-4,112.48000000000006,0.4848275862068968,232,494,0.46963562753036436
148,TEN,Ryan Tannehill,Other,31,9.2,4,0,13.2,0.4258064516129032,31,494,0.06275303643724696
149,TEN,Ryan Tannehill,Zone,231,81.52000000000001,56,-7,130.51999999999998,0.565021645021645,231,494,0.4676113360323887
150,CAR,Sam Darnold,Man,182,33.599999999999994,24,-5,52.6,0.28901098901098904,182,373,0.4879356568364611
151,CAR,Sam Darnold,Other,38,13.0,8,0,20.999999999999996,0.5526315789473684,38,373,0.10187667560321716
152,CAR,Sam Darnold,Zone,153,35.039999999999985,4,-6,33.03999999999998,0.21594771241830052,153,373,0.4101876675603217
153,WAS,Taylor Heinicke,Man,15,4.04,0,0,4.04,0.2693333333333333,15,65,0.23076923076923078
154,WAS,Taylor Heinicke,Other,2,0.48,0,0,0.48,0.24,2,65,0.03076923076923077
155,WAS,Taylor Heinicke,Zone,48,13.279999999999998,8,-1,20.279999999999998,0.42249999999999993,48,65,0.7384615384615385
156,NO,Taysom Hill,Man,41,12.040000000000001,0,0,12.040000000000001,0.2936585365853659,41,116,0.35344827586206895
157,NO,Taysom Hill,Other,26,7.56,4,-1,10.559999999999999,0.4061538461538461,26,116,0.22413793103448276
158,NO,Taysom Hill,Zone,49,15.24,8,-1,22.23999999999999,0.453877551020408,49,116,0.4224137931034483
159,MIA,Teddy Bridgewater,Man,189,55.040000000000006,16,-4,67.03999999999998,0.3547089947089946,189,466,0.4055793991416309
160,MIA,Teddy Bridgewater,Other,49,16.079999999999995,16,-2,30.08,0.6138775510204081,49,466,0.10515021459227468
161,MIA,Teddy Bridgewater,Zone,228,67.19999999999997,8,-6,69.19999999999999,0.3035087719298245,228,466,0.4892703862660944
162,DET,Tim Boyle,Man,1,0.0,0,0,0.0,0.0,1,1,1.0
163,TB,Tom Brady,Man,362,102.47999999999995,84,-10,176.47999999999982,0.48751381215469564,362,742,0.48787061994609165
164,TB,Tom Brady,Other,65,15.48,16,-1,30.479999999999993,0.46892307692307683,65,742,0.0876010781671159
165,TB,Tom Brady,Zone,315,94.59999999999997,76,-6,164.59999999999994,0.5225396825396823,315,742,0.42452830188679247
166,ARI,Trace McSorley,Man,3,2.8000000000000003,4,0,6.800000000000001,2.266666666666667,3,9,0.3333333333333333
167,ARI,Trace McSorley,Zone,6,0.8,0,0,0.8,0.13333333333333333,6,9,0.6666666666666666
168,MIA,Tua Tagovailoa,Man,130,26.599999999999994,12,-4,34.599999999999994,0.26615384615384613,130,244,0.5327868852459017
169,MIA,Tua Tagovailoa,Other,19,5.08,0,0,5.08,0.2673684210526316,19,244,0.0778688524590164
170,MIA,Tua Tagovailoa,Zone,95,23.119999999999994,8,-2,29.119999999999994,0.30652631578947365,95,244,0.38934426229508196
171,BAL,Tyler Huntley,Man,3,0.44,0,0,0.44,0.14666666666666667,3,18,0.16666666666666666
172,BAL,Tyler Huntley,Zone,15,2.5999999999999996,0,0,2.5999999999999996,0.1733333333333333,15,18,0.8333333333333334
173,NYG,Tyrod Taylor,Man,18,3.9199999999999995,0,0,3.9199999999999995,0.21777777777777774,18,27,0.6666666666666666
174,NYG,Tyrod Taylor,Other,2,0.68,0,0,0.68,0.34,2,27,0.07407407407407407
175,NYG,Tyrod Taylor,Zone,7,2.72,0,0,2.72,0.3885714285714286,7,27,0.25925925925925924
