,nickName,TargetType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Team,RouteType,Routes Run,FP/routes
516,Dolphins,Dig,13.100000000000001,0,9,22.1,Dolphins,Dig,188.0,0.1175531914893617
526,Dolphins,Out,53.7,0,53,106.70000000000005,Dolphins,Out,210.0,0.5080952380952383
529,Dolphins,Post,18.4,12,8,38.4,Dolphins,Post,99.0,0.3878787878787879
539,Dolphins,Slant,27.200000000000003,12,20,59.2,Dolphins,Slant,232.0,0.25517241379310346
553,Eagles,Comeback,0.0,0,0,0.0,Eagles,Comeback,56.0,0.0
554,Eagles,Corner,8.3,12,5,25.3,Eagles,Corner,66.0,0.38333333333333336
556,Eagles,Curl,80.20000000000003,12,89,181.20000000000002,Eagles,Curl,251.0,0.7219123505976096
558,Eagles,Dig,40.300000000000004,0,27,67.3,Eagles,Dig,76.0,0.8855263157894736
568,Eagles,Out,33.400000000000006,6,45,84.39999999999999,Eagles,Out,111.0,0.7603603603603603
571,Eagles,Post,29.400000000000002,0,11,40.4,Eagles,Post,96.0,0.42083333333333334
582,Eagles,Slant,25.700000000000006,12,23,60.69999999999998,Eagles,Slant,37.0,1.64054054054054
596,Falcons,Comeback,2.9000000000000004,0,3,5.9,Falcons,Comeback,10.0,0.5900000000000001
597,Falcons,Corner,10.4,36,8,54.4,Falcons,Corner,125.0,0.4352
599,Falcons,Curl,74.3,6,73,153.30000000000007,Falcons,Curl,401.0,0.3822942643391523
601,Falcons,Dig,31.6,0,19,50.599999999999994,Falcons,Dig,203.0,0.24926108374384234
612,Falcons,Out,47.49999999999999,6,43,96.50000000000001,Falcons,Out,180.0,0.5361111111111112
615,Falcons,Post,16.200000000000003,6,8,30.200000000000003,Falcons,Post,98.0,0.3081632653061225
626,Falcons,Slant,30.2,6,20,56.2,Falcons,Slant,162.0,0.3469135802469136
641,Football Team,Comeback,7.4,0,6,13.399999999999999,Football Team,Comeback,30.0,0.4466666666666666
642,Football Team,Corner,13.600000000000001,6,7,26.6,Football Team,Corner,35.0,0.76
644,Football Team,Curl,57.3,0,63,120.3,Football Team,Curl,216.0,0.5569444444444445
646,Football Team,Dig,34.1,0,27,61.1,Football Team,Dig,150.0,0.4073333333333333
656,Football Team,Out,46.49999999999999,18,47,111.49999999999999,Football Team,Out,190.0,0.5868421052631578
659,Football Team,Post,21.4,18,7,46.4,Football Team,Post,107.0,0.4336448598130841
670,Football Team,Slant,25.499999999999996,12,25,62.50000000000001,Football Team,Slant,86.0,0.7267441860465117
