,team,playerName,DropType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
30,JAX,C.J. Beathard,7 Step,7,0.16,0,0,0.16,0.022857142857142857,7,108,0.06481481481481481
31,WAS,Carson Wentz,0/1 Step,163,31.359999999999985,12,-5,38.35999999999998,0.2353374233128833,163,438,0.3721461187214612
32,WAS,Carson Wentz,3 Step,188,42.47999999999999,32,-10,64.48,0.34297872340425534,188,438,0.4292237442922374
33,WAS,Carson Wentz,5 Step,74,17.560000000000002,8,-1,24.560000000000006,0.33189189189189194,74,438,0.1689497716894977
34,WAS,Carson Wentz,7 Step,13,3.9600000000000004,4,0,7.96,0.6123076923076923,13,438,0.02968036529680365
35,BUF,Case Keenum,0/1 Step,3,0.28,0,0,0.28,0.09333333333333334,3,7,0.42857142857142855
36,BUF,Case Keenum,3 Step,3,0.96,0,0,0.96,0.32,3,7,0.42857142857142855
37,BUF,Case Keenum,5 Step,1,0.52,0,0,0.52,0.52,1,7,0.14285714285714285
38,KC,Chad Henne,0/1 Step,13,2.7199999999999998,4,0,6.72,0.5169230769230769,13,32,0.40625
39,KC,Chad Henne,3 Step,12,2.4000000000000004,0,0,2.4000000000000004,0.20000000000000004,12,32,0.375
40,KC,Chad Henne,5 Step,4,1.56,0,0,1.56,0.39,4,32,0.125
41,KC,Chad Henne,7 Step,3,0.48,0,-1,-0.52,-0.17333333333333334,3,32,0.09375
42,LAC,Chase Daniel,0/1 Step,15,2.24,0,0,2.24,0.14933333333333335,15,42,0.35714285714285715
43,LAC,Chase Daniel,3 Step,18,5.36,0,-1,4.36,0.24222222222222223,18,42,0.42857142857142855
44,LAC,Chase Daniel,5 Step,8,1.3199999999999998,0,-1,0.32,0.04,8,42,0.19047619047619047
45,LAC,Chase Daniel,7 Step,1,1.12,0,0,1.12,1.12,1,42,0.023809523809523808
46,ARI,Colt McCoy,0/1 Step,18,3.0000000000000004,0,-1,2.0,0.1111111111111111,18,64,0.28125
47,ARI,Colt McCoy,3 Step,37,9.08,0,0,9.08,0.2454054054054054,37,64,0.578125
48,ARI,Colt McCoy,5 Step,4,1.44,0,0,1.44,0.36,4,64,0.0625
49,ARI,Colt McCoy,7 Step,5,1.52,0,0,1.52,0.304,5,64,0.078125
50,DAL,Dak Prescott,0/1 Step,32,12.280000000000001,16,0,28.279999999999998,0.8837499999999999,32,189,0.1693121693121693
51,DAL,Dak Prescott,3 Step,110,35.4,16,-2,49.39999999999998,0.4490909090909089,110,189,0.582010582010582
52,DAL,Dak Prescott,5 Step,36,12.000000000000004,0,-2,10.000000000000004,0.2777777777777779,36,189,0.19047619047619047
53,DAL,Dak Prescott,7 Step,11,7.159999999999999,4,0,11.16,1.0145454545454546,11,189,0.0582010582010582
54,NYG,Daniel Jones,0/1 Step,195,43.88,16,-4,55.88000000000001,0.28656410256410264,195,460,0.42391304347826086
55,NYG,Daniel Jones,3 Step,201,51.99999999999998,28,-5,74.99999999999999,0.37313432835820887,201,460,0.4369565217391304
56,NYG,Daniel Jones,5 Step,29,8.200000000000001,0,-1,7.200000000000001,0.24827586206896554,29,460,0.06304347826086956
57,NYG,Daniel Jones,7 Step,35,8.32,4,0,12.32,0.35200000000000004,35,460,0.07608695652173914
58,DET,David Blough,0/1 Step,3,0.56,0,0,0.56,0.18666666666666668,3,11,0.2727272727272727
59,DET,David Blough,3 Step,6,1.12,0,-1,0.1200000000000001,0.020000000000000018,6,11,0.5454545454545454
60,DET,David Blough,5 Step,2,0.0,0,0,0.0,0.0,2,11,0.18181818181818182
61,LV,Derek Carr,0/1 Step,132,32.199999999999996,20,-1,51.199999999999996,0.3878787878787878,132,505,0.2613861386138614
62,LV,Derek Carr,3 Step,203,63.83999999999997,32,-5,90.83999999999996,0.44748768472906386,203,505,0.401980198019802
63,LV,Derek Carr,5 Step,135,46.31999999999999,36,-3,79.31999999999995,0.5875555555555552,135,505,0.26732673267326734
64,LV,Derek Carr,7 Step,35,12.040000000000003,12,-1,23.040000000000003,0.6582857142857144,35,505,0.06930693069306931
65,CLE,Deshaun Watson,0/1 Step,82,24.560000000000002,4,0,28.56000000000001,0.34829268292682936,82,523,0.15678776290630975
66,CLE,Deshaun Watson,3 Step,266,77.15999999999995,64,-2,139.1599999999999,0.5231578947368418,266,523,0.5086042065009561
67,CLE,Deshaun Watson,5 Step,150,56.52,32,-3,85.52,0.5701333333333333,150,523,0.28680688336520077
68,CLE,Deshaun Watson,7 Step,25,8.0,4,-2,10.0,0.4,25,523,0.04780114722753346
69,SEA,Drew Lock,0/1 Step,108,22.96,20,-4,38.96,0.36074074074074075,108,406,0.2660098522167488
70,SEA,Drew Lock,3 Step,209,52.639999999999986,12,-9,55.63999999999997,0.26622009569377975,209,406,0.5147783251231527
71,SEA,Drew Lock,5 Step,68,13.879999999999997,8,-1,20.88,0.3070588235294118,68,406,0.16748768472906403
72,SEA,Drew Lock,7 Step,21,4.119999999999999,4,-1,7.120000000000001,0.3390476190476191,21,406,0.05172413793103448
73,PHI,Gardner Minshew,0/1 Step,49,13.440000000000003,12,-1,24.439999999999998,0.49877551020408156,49,337,0.14540059347181009
74,PHI,Gardner Minshew,3 Step,149,41.03999999999999,28,-4,65.03999999999998,0.4365100671140938,149,337,0.4421364985163205
75,PHI,Gardner Minshew,5 Step,96,17.640000000000004,16,-1,32.639999999999986,0.33999999999999986,96,337,0.28486646884273
76,PHI,Gardner Minshew,7 Step,43,13.639999999999999,4,0,17.639999999999993,0.41023255813953474,43,337,0.12759643916913946
77,SEA,Geno Smith,0/1 Step,2,0.64,0,0,0.64,0.32,2,4,0.5
78,SEA,Geno Smith,3 Step,2,0.0,0,0,0.0,0.0,2,4,0.5
79,CLE,Jacoby Brissett,0/1 Step,2,0.16,0,0,0.16,0.08,2,8,0.25
80,CLE,Jacoby Brissett,3 Step,4,0.52,0,0,0.52,0.13,4,8,0.5
81,CLE,Jacoby Brissett,5 Step,1,0.0,0,0,0.0,0.0,1,8,0.125
82,CLE,Jacoby Brissett,7 Step,1,0.0,0,0,0.0,0.0,1,8,0.125
83,JAX,Jake Luton,0/1 Step,20,4.5200000000000005,4,0,8.520000000000003,0.42600000000000016,20,106,0.18867924528301888
84,JAX,Jake Luton,3 Step,46,8.359999999999998,0,-4,4.36,0.09478260869565218,46,106,0.4339622641509434
85,JAX,Jake Luton,5 Step,35,6.6000000000000005,4,-1,9.6,0.2742857142857143,35,106,0.330188679245283
86,JAX,Jake Luton,7 Step,5,2.28,0,-1,1.28,0.256,5,106,0.04716981132075472
87,PHI,Jalen Hurts,0/1 Step,43,9.000000000000002,8,-1,15.999999999999996,0.3720930232558139,43,140,0.30714285714285716
88,PHI,Jalen Hurts,3 Step,73,19.080000000000005,8,-2,25.079999999999995,0.3435616438356164,73,140,0.5214285714285715
89,PHI,Jalen Hurts,5 Step,22,6.88,0,-1,5.880000000000001,0.26727272727272733,22,140,0.15714285714285714
90,PHI,Jalen Hurts,7 Step,2,0.0,0,0,0.0,0.0,2,140,0.014285714285714285
91,NO,Jameis Winston,0/1 Step,7,1.6400000000000001,0,0,1.6400000000000001,0.2342857142857143,7,13,0.5384615384615384
92,NO,Jameis Winston,3 Step,4,0.6,0,0,0.6,0.15,4,13,0.3076923076923077
93,NO,Jameis Winston,5 Step,2,0.76,0,0,0.76,0.38,2,13,0.15384615384615385
94,DET,Jared Goff,0/1 Step,80,14.799999999999995,12,0,26.79999999999999,0.33499999999999985,80,510,0.1568627450980392
95,DET,Jared Goff,3 Step,300,83.07999999999994,40,-7,116.07999999999988,0.38693333333333296,300,510,0.5882352941176471
96,DET,Jared Goff,5 Step,71,21.480000000000008,4,-1,24.48,0.3447887323943662,71,510,0.1392156862745098
97,DET,Jared Goff,7 Step,59,15.960000000000003,16,-2,29.959999999999994,0.5077966101694914,59,510,0.11568627450980393
98,LV,Jarrett Stidham,0/1 Step,9,2.2800000000000002,4,-2,4.28,0.47555555555555556,9,43,0.20930232558139536
99,LV,Jarrett Stidham,3 Step,21,4.36,4,0,8.360000000000001,0.39809523809523817,21,43,0.4883720930232558
100,LV,Jarrett Stidham,5 Step,12,1.7599999999999998,0,-2,-0.24,-0.02,12,43,0.27906976744186046
101,LV,Jarrett Stidham,7 Step,1,0.0,0,0,0.0,0.0,1,43,0.023255813953488372
102,HOU,Jeff Driskel,0/1 Step,22,4.5600000000000005,4,0,8.559999999999999,0.38909090909090904,22,67,0.3283582089552239
103,HOU,Jeff Driskel,3 Step,41,10.759999999999998,8,-2,16.759999999999998,0.408780487804878,41,67,0.6119402985074627
104,HOU,Jeff Driskel,5 Step,4,0.28,0,0,0.28,0.07,4,67,0.05970149253731343
105,SF,Jimmy Garoppolo,0/1 Step,41,12.920000000000003,4,-2,14.919999999999998,0.3639024390243902,41,134,0.30597014925373134
106,SF,Jimmy Garoppolo,3 Step,61,19.28,24,-3,40.27999999999999,0.6603278688524588,61,134,0.4552238805970149
107,SF,Jimmy Garoppolo,5 Step,21,4.4,0,-1,3.400000000000001,0.16190476190476194,21,134,0.15671641791044777
108,SF,Jimmy Garoppolo,7 Step,11,2.68,0,0,2.68,0.24363636363636365,11,134,0.08208955223880597
109,CIN,Joe Burrow,0/1 Step,123,35.03999999999999,16,0,51.03999999999997,0.4149593495934957,123,398,0.30904522613065327
110,CIN,Joe Burrow,3 Step,232,52.160000000000025,32,-3,81.15999999999995,0.34982758620689636,232,398,0.5829145728643216
111,CIN,Joe Burrow,5 Step,34,10.719999999999999,4,-2,12.720000000000002,0.3741176470588236,34,398,0.08542713567839195
112,CIN,Joe Burrow,7 Step,9,0.76,0,-1,-0.24,-0.026666666666666665,9,398,0.022613065326633167
113,NYJ,Joe Flacco,0/1 Step,19,3.7199999999999998,0,-1,2.7199999999999998,0.1431578947368421,19,141,0.1347517730496454
114,NYJ,Joe Flacco,3 Step,87,17.079999999999995,12,0,29.08,0.33425287356321837,87,141,0.6170212765957447
115,NYJ,Joe Flacco,5 Step,23,4.4399999999999995,8,-1,11.440000000000001,0.49739130434782614,23,141,0.16312056737588654
116,NYJ,Joe Flacco,7 Step,12,7.5600000000000005,4,-1,10.56,0.88,12,141,0.0851063829787234
117,LAR,John Wolford,0/1 Step,11,2.08,0,-1,1.08,0.09818181818181819,11,40,0.275
118,LAR,John Wolford,3 Step,26,6.880000000000001,0,0,6.880000000000001,0.26461538461538464,26,40,0.65
119,LAR,John Wolford,5 Step,1,0.0,0,0,0.0,0.0,1,40,0.025
120,LAR,John Wolford,7 Step,2,0.6,0,0,0.6,0.3,2,40,0.05
121,BUF,Josh Allen,0/1 Step,291,76.51999999999992,56,-5,127.51999999999997,0.43821305841924385,291,667,0.4362818590704648
122,BUF,Josh Allen,3 Step,250,80.60000000000001,56,-4,132.59999999999997,0.5303999999999999,250,667,0.3748125937031484
123,BUF,Josh Allen,5 Step,87,25.92,24,-3,46.919999999999995,0.5393103448275861,87,667,0.13043478260869565
124,BUF,Josh Allen,7 Step,39,14.559999999999999,12,0,26.56,0.681025641025641,39,667,0.05847076461769116
125,CLE,Joshua Dobbs,0/1 Step,3,-0.039999999999999994,0,0,-0.039999999999999994,-0.01333333333333333,3,3,1.0
126,LAC,Justin Herbert,0/1 Step,164,33.63999999999999,20,-4,49.63999999999999,0.30268292682926823,164,560,0.29285714285714287
127,LAC,Justin Herbert,3 Step,191,44.15999999999998,28,-2,70.16,0.36732984293193716,191,560,0.3410714285714286
128,LAC,Justin Herbert,5 Step,139,49.639999999999986,36,-1,84.64,0.6089208633093525,139,560,0.24821428571428572
129,LAC,Justin Herbert,7 Step,66,28.83999999999999,20,-2,46.839999999999996,0.7096969696969696,66,560,0.11785714285714285
130,DEN,Kendall Hinton,0/1 Step,1,0.0,0,0,0.0,0.0,1,6,0.16666666666666666
131,DEN,Kendall Hinton,3 Step,5,0.0,0,-1,-1.0,-0.2,5,6,0.8333333333333334
132,MIN,Kirk Cousins,0/1 Step,62,15.04,8,-2,21.04,0.3393548387096774,62,481,0.1288981288981289
133,MIN,Kirk Cousins,3 Step,235,71.31999999999996,60,-4,127.32000000000001,0.5417872340425532,235,481,0.4885654885654886
134,MIN,Kirk Cousins,5 Step,121,37.99999999999999,36,-4,70.0,0.5785123966942148,121,481,0.2515592515592516
135,MIN,Kirk Cousins,7 Step,63,21.92,8,-1,28.92,0.4590476190476191,63,481,0.13097713097713098
136,HOU,Kyle Allen,0/1 Step,14,3.64,0,0,3.64,0.26,14,77,0.18181818181818182
137,HOU,Kyle Allen,3 Step,33,8.6,12,-1,19.6,0.593939393939394,33,77,0.42857142857142855
138,HOU,Kyle Allen,5 Step,22,5.440000000000001,0,0,5.440000000000001,0.24727272727272734,22,77,0.2857142857142857
139,HOU,Kyle Allen,7 Step,8,2.52,4,0,6.52,0.815,8,77,0.1038961038961039
140,ARI,Kyler Murray,0/1 Step,125,25.919999999999977,8,-2,31.919999999999984,0.25535999999999986,125,524,0.2385496183206107
141,ARI,Kyler Murray,3 Step,191,57.99999999999999,56,-3,110.99999999999996,0.5811518324607328,191,524,0.36450381679389315
142,ARI,Kyler Murray,5 Step,193,57.75999999999997,16,-6,67.75999999999999,0.35108808290155435,193,524,0.3683206106870229
143,ARI,Kyler Murray,7 Step,15,3.52,0,0,3.52,0.23466666666666666,15,524,0.02862595419847328
144,BAL,Lamar Jackson,0/1 Step,134,32.71999999999998,36,-2,66.71999999999998,0.4979104477611939,134,377,0.35543766578249336
145,BAL,Lamar Jackson,3 Step,195,61.95999999999997,40,-7,94.96000000000001,0.48697435897435903,195,377,0.5172413793103449
146,BAL,Lamar Jackson,5 Step,46,12.8,12,-2,22.800000000000008,0.49565217391304367,46,377,0.1220159151193634
147,BAL,Lamar Jackson,7 Step,2,0.24,0,0,0.24,0.12,2,377,0.005305039787798408
148,TEN,Logan Woodside,3 Step,2,0.0,0,0,0.0,0.0,2,2,1.0
149,ATL,Marcus Mariota,0/1 Step,1,0.0,0,0,0.0,0.0,1,24,0.041666666666666664
150,ATL,Marcus Mariota,3 Step,7,1.96,0,-1,0.9599999999999999,0.13714285714285712,7,24,0.2916666666666667
151,ATL,Marcus Mariota,5 Step,10,4.960000000000001,4,0,8.959999999999999,0.8959999999999999,10,24,0.4166666666666667
152,ATL,Marcus Mariota,7 Step,6,1.28,0,0,1.28,0.21333333333333335,6,24,0.25
153,PIT,Mason Rudolph,0/1 Step,9,1.48,4,0,5.48,0.6088888888888889,9,41,0.21951219512195122
154,PIT,Mason Rudolph,3 Step,28,11.160000000000002,4,-1,14.160000000000002,0.5057142857142858,28,41,0.6829268292682927
155,PIT,Mason Rudolph,5 Step,3,0.36,0,0,0.36,0.12,3,41,0.07317073170731707
156,PIT,Mason Rudolph,7 Step,1,0.0,0,0,0.0,0.0,1,41,0.024390243902439025
157,BUF,Matt Barkley,0/1 Step,6,1.1600000000000001,0,0,1.1600000000000001,0.19333333333333336,6,19,0.3157894736842105
158,BUF,Matt Barkley,3 Step,5,3.16,0,0,3.16,0.632,5,19,0.2631578947368421
159,BUF,Matt Barkley,5 Step,4,1.32,0,-1,0.32000000000000006,0.08000000000000002,4,19,0.21052631578947367
160,BUF,Matt Barkley,7 Step,4,2.24,4,0,6.24,1.56,4,19,0.21052631578947367
161,IND,Matt Ryan,0/1 Step,125,23.59999999999999,16,-3,36.59999999999999,0.2927999999999999,125,631,0.19809825673534073
162,IND,Matt Ryan,3 Step,316,79.68,48,-6,121.67999999999996,0.38506329113924037,316,631,0.5007923930269413
163,IND,Matt Ryan,5 Step,132,43.39999999999999,28,-1,70.4,0.5333333333333333,132,631,0.2091917591125198
164,IND,Matt Ryan,7 Step,58,18.759999999999998,4,-2,20.76,0.35793103448275865,58,631,0.0919175911251981
165,LAR,Matthew Stafford,0/1 Step,84,18.279999999999998,4,-2,20.279999999999994,0.24142857142857135,84,525,0.16
166,LAR,Matthew Stafford,3 Step,212,56.68000000000002,48,-5,99.67999999999996,0.47018867924528285,212,525,0.4038095238095238
167,LAR,Matthew Stafford,5 Step,159,53.760000000000005,36,-3,86.76,0.5456603773584906,159,525,0.3028571428571429
168,LAR,Matthew Stafford,7 Step,70,23.919999999999998,8,-2,29.919999999999995,0.4274285714285713,70,525,0.13333333333333333
169,SF,Nate Sudfeld,0/1 Step,3,0.64,0,0,0.64,0.21333333333333335,3,12,0.25
170,SF,Nate Sudfeld,3 Step,9,0.64,0,-1,-0.36,-0.04,9,12,0.75
171,CHI,Nathan Peterman,0/1 Step,3,0.36,0,0,0.36,0.12,3,6,0.5
172,CHI,Nathan Peterman,3 Step,2,0.0,0,0,0.0,0.0,2,6,0.3333333333333333
173,CHI,Nathan Peterman,5 Step,1,0.48,0,0,0.48,0.48,1,6,0.16666666666666666
174,IND,Nick Foles,0/1 Step,108,21.919999999999998,20,-3,38.919999999999995,0.36037037037037034,108,277,0.3898916967509025
175,IND,Nick Foles,3 Step,134,29.24,16,-3,42.24000000000001,0.315223880597015,134,277,0.48375451263537905
176,IND,Nick Foles,5 Step,31,10.280000000000001,4,-1,13.28,0.4283870967741935,31,277,0.11191335740072202
177,IND,Nick Foles,7 Step,4,1.08,0,0,1.08,0.27,4,277,0.01444043321299639
178,LV,Nick Mullens,0/1 Step,140,39.24,28,-2,65.23999999999997,0.46599999999999975,140,319,0.438871473354232
179,LV,Nick Mullens,3 Step,111,29.080000000000005,12,-5,36.07999999999999,0.32504504504504494,111,319,0.34796238244514105
180,LV,Nick Mullens,5 Step,43,10.159999999999998,4,-5,9.16,0.21302325581395348,43,319,0.13479623824451412
181,LV,Nick Mullens,7 Step,25,9.64,0,0,9.64,0.3856,25,319,0.07836990595611286
182,KC,Patrick Mahomes,0/1 Step,92,23.600000000000005,20,0,43.599999999999994,0.4739130434782608,92,585,0.15726495726495726
183,KC,Patrick Mahomes,3 Step,279,79.39999999999995,44,-6,117.39999999999999,0.4207885304659498,279,585,0.47692307692307695
184,KC,Patrick Mahomes,5 Step,173,58.87999999999999,36,-4,90.87999999999998,0.5253179190751444,173,585,0.29572649572649573
185,KC,Patrick Mahomes,7 Step,41,19.839999999999996,12,-1,30.839999999999993,0.7521951219512193,41,585,0.07008547008547009
186,TB,Russell Gage,3 Step,1,0.0,0,0,0.0,0.0,1,1,1.0
187,DEN,Russell Wilson,0/1 Step,199,44.079999999999984,36,-5,75.07999999999998,0.37728643216080393,199,563,0.35346358792184723
188,DEN,Russell Wilson,3 Step,174,49.04,56,-7,98.04000000000002,0.5634482758620691,174,563,0.30905861456483125
189,DEN,Russell Wilson,5 Step,143,46.11999999999997,28,-1,73.11999999999999,0.5113286713286712,143,563,0.2539964476021314
190,DEN,Russell Wilson,7 Step,47,14.479999999999999,12,-1,25.480000000000004,0.5421276595744682,47,563,0.08348134991119005
191,TEN,Ryan Tannehill,0/1 Step,165,49.59999999999999,44,-2,91.60000000000004,0.5551515151515154,165,494,0.3340080971659919
192,TEN,Ryan Tannehill,3 Step,223,59.519999999999996,64,-6,117.52000000000001,0.5269955156950673,223,494,0.451417004048583
193,TEN,Ryan Tannehill,5 Step,77,26.04,4,-2,28.039999999999992,0.36415584415584407,77,494,0.15587044534412955
194,TEN,Ryan Tannehill,7 Step,29,12.040000000000001,8,-1,19.040000000000003,0.6565517241379312,29,494,0.058704453441295545
195,CAR,Sam Darnold,0/1 Step,79,17.759999999999994,12,-3,26.759999999999994,0.3387341772151898,79,373,0.21179624664879357
196,CAR,Sam Darnold,3 Step,214,41.72,16,-6,51.719999999999985,0.24168224299065413,214,373,0.5737265415549598
197,CAR,Sam Darnold,5 Step,55,12.28,8,-2,18.279999999999998,0.3323636363636363,55,373,0.14745308310991956
198,CAR,Sam Darnold,7 Step,25,9.879999999999999,0,0,9.879999999999999,0.39519999999999994,25,373,0.06702412868632708
199,WAS,Taylor Heinicke,0/1 Step,3,0.52,0,0,0.52,0.17333333333333334,3,65,0.046153846153846156
200,WAS,Taylor Heinicke,3 Step,31,5.16,4,-1,8.16,0.2632258064516129,31,65,0.47692307692307695
201,WAS,Taylor Heinicke,5 Step,30,10.96,4,0,14.960000000000003,0.49866666666666676,30,65,0.46153846153846156
202,WAS,Taylor Heinicke,7 Step,1,1.16,0,0,1.16,1.16,1,65,0.015384615384615385
203,NO,Taysom Hill,0/1 Step,22,3.16,0,0,3.16,0.14363636363636365,22,116,0.1896551724137931
204,NO,Taysom Hill,3 Step,41,12.480000000000002,8,-1,19.48,0.47512195121951223,41,116,0.35344827586206895
205,NO,Taysom Hill,5 Step,31,9.400000000000002,0,-1,8.400000000000002,0.27096774193548395,31,116,0.2672413793103448
206,NO,Taysom Hill,7 Step,22,9.8,4,0,13.8,0.6272727272727273,22,116,0.1896551724137931
207,MIA,Teddy Bridgewater,0/1 Step,153,34.399999999999984,12,-2,44.4,0.2901960784313725,153,466,0.3283261802575107
208,MIA,Teddy Bridgewater,3 Step,155,46.919999999999995,8,-6,48.919999999999995,0.31561290322580643,155,466,0.33261802575107297
209,MIA,Teddy Bridgewater,5 Step,116,40.19999999999999,12,-4,48.19999999999999,0.41551724137931023,116,466,0.24892703862660945
210,MIA,Teddy Bridgewater,7 Step,42,16.8,8,0,24.8,0.5904761904761905,42,466,0.09012875536480687
211,DET,Tim Boyle,3 Step,1,0.0,0,0,0.0,0.0,1,1,1.0
212,TB,Tom Brady,0/1 Step,228,49.760000000000005,60,-4,105.75999999999992,0.46385964912280664,228,742,0.30727762803234504
213,TB,Tom Brady,3 Step,341,97.67999999999992,56,-10,143.67999999999995,0.421348973607038,341,742,0.45956873315363883
214,TB,Tom Brady,5 Step,117,36.480000000000004,36,-3,69.48,0.5938461538461539,117,742,0.15768194070080863
215,TB,Tom Brady,7 Step,56,28.64000000000001,24,0,52.63999999999999,0.9399999999999998,56,742,0.07547169811320754
216,ARI,Trace McSorley,0/1 Step,2,0.0,0,0,0.0,0.0,2,9,0.2222222222222222
217,ARI,Trace McSorley,3 Step,4,3.08,4,0,7.080000000000001,1.7700000000000002,4,9,0.4444444444444444
218,ARI,Trace McSorley,5 Step,3,0.52,0,0,0.52,0.17333333333333334,3,9,0.3333333333333333
219,MIA,Tua Tagovailoa,0/1 Step,28,9.040000000000001,0,0,9.040000000000001,0.3228571428571429,28,244,0.11475409836065574
220,MIA,Tua Tagovailoa,3 Step,178,39.519999999999996,20,-6,53.52,0.3006741573033708,178,244,0.7295081967213115
221,MIA,Tua Tagovailoa,5 Step,35,5.880000000000002,0,0,5.880000000000002,0.16800000000000004,35,244,0.14344262295081966
222,MIA,Tua Tagovailoa,7 Step,3,0.36,0,0,0.36,0.12,3,244,0.012295081967213115
223,BAL,Tyler Huntley,0/1 Step,2,0.32,0,0,0.32,0.16,2,18,0.1111111111111111
224,BAL,Tyler Huntley,3 Step,14,2.4,0,0,2.4,0.17142857142857143,14,18,0.7777777777777778
225,BAL,Tyler Huntley,5 Step,2,0.32,0,0,0.32,0.16,2,18,0.1111111111111111
226,NYG,Tyrod Taylor,3 Step,16,4.4,0,0,4.4,0.275,16,27,0.5925925925925926
227,NYG,Tyrod Taylor,5 Step,10,2.9200000000000004,0,0,2.9200000000000004,0.29200000000000004,10,27,0.37037037037037035
228,NYG,Tyrod Taylor,7 Step,1,0.0,0,0,0.0,0.0,1,27,0.037037037037037035
