team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
NYJ,Braxton Berrios,Cover 1,10.4,12,7,29.400000000000002,58.0,0.506896551724138,14,54,0.25925925925925924
NYJ,Braxton Berrios,Cover 2,4.4,6,3,13.4,25.0,0.536,6,54,0.1111111111111111
NYJ,Braxton Berrios,Cover 3,12.700000000000001,0,8,20.7,41.0,0.5048780487804878,12,54,0.2222222222222222
NYJ,Braxton Berrios,Cover 4,4.300000000000001,0,6,10.3,23.0,0.44782608695652176,10,54,0.18518518518518517
NYJ,Braxton Berrios,Man Cover 2,0.8,0,1,1.8,7.0,0.2571428571428572,1,54,0.018518518518518517
NYJ,Braxton Berrios,Screen,6.0,0,11,17.0,19.0,0.8947368421052632,11,54,0.2037037037037037
TB,Breshad Perriman,Combination,3.7,0,1,4.7,18.0,0.2611111111111111,2,63,0.031746031746031744
TB,Breshad Perriman,Cover 1,16.8,0,8,24.8,107.0,0.23177570093457944,21,63,0.3333333333333333
TB,Breshad Perriman,Cover 3,24.200000000000003,18,11,53.20000000000001,120.0,0.4433333333333334,24,63,0.38095238095238093
TB,Breshad Perriman,Cover 4,2.1,0,3,5.1,51.0,0.09999999999999999,6,63,0.09523809523809523
TB,Breshad Perriman,Cover 6,1.3,0,1,2.3,12.0,0.19166666666666665,4,63,0.06349206349206349
TB,Breshad Perriman,Screen,2.1000000000000005,0,6,8.1,30.0,0.26999999999999996,6,63,0.09523809523809523
ATL,Bryan Edwards,Man Cover 2,0.0,0,0,0.0,5.0,0.0,1,1,1.0
CHI,Byron Pringle,Man Cover 2,4.9,0,4,8.9,5.0,1.78,4,4,1.0
NYG,C.J. Board,Cover 4,5.1,0,5,10.1,24.0,0.42083333333333334,5,6,0.8333333333333334
NYG,C.J. Board,Cover 6,0.0,0,0,0.0,1.0,0.0,1,6,0.16666666666666666
NYJ,C.J. Uzomah,Man Cover 2,1.5,0,1,2.5,2.0,1.25,2,2,1.0
LAR,Cam Akers,Cover 0,0.4,6,1,7.4,4.0,1.85,1,11,0.09090909090909091
LAR,Cam Akers,Cover 3,13.600000000000001,0,8,21.6,38.0,0.5684210526315789,10,11,0.9090909090909091
WAS,Cam Sims,Cover 1,17.5,0,9,26.500000000000004,78.0,0.3397435897435898,11,59,0.1864406779661017
