,nickName,TargetType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
817,Packers,Curl,90,22.71999999999999,8,-2,28.719999999999988,0.31911111111111096
818,Packers,Deep Cross,14,8.879999999999999,8,0,16.880000000000003,1.205714285714286
819,Packers,Dig,43,9.599999999999998,0,-2,7.6000000000000005,0.17674418604651165
820,Packers,Drag,22,6.880000000000001,0,0,6.880000000000001,0.31272727272727274
821,Packers,Fade,12,3.76,16,-2,17.76,1.4800000000000002
822,Packers,Fade - Back Shoulder,5,2.2,0,0,2.2,0.44000000000000006
823,Packers,Flat - Left,14,3.6400000000000006,0,0,3.6400000000000006,0.26000000000000006
824,Packers,Flat - Right,13,1.7600000000000002,4,0,5.760000000000001,0.44307692307692315
825,Packers,Go/Fly,16,3.4000000000000004,8,0,11.399999999999999,0.7124999999999999
826,Packers,Hitch & Go,4,0.0,0,0,0.0,0.0
827,Packers,Jerk,1,0.12,0,0,0.12,0.12
828,Packers,Jet Sweep Pass,9,2.3600000000000003,8,0,10.36,1.151111111111111
829,Packers,No Video,2,0.0,0,0,0.0,0.0
830,Packers,Out,64,14.079999999999997,4,-1,17.079999999999995,0.2668749999999999
831,Packers,Out & Up,4,2.32,0,0,2.32,0.58
832,Packers,Over Ball,7,2.1599999999999997,0,0,2.1599999999999997,0.30857142857142855
833,Packers,Post,14,5.2,4,-2,7.2,0.5142857142857143
834,Packers,Quick,3,0.64,0,0,0.64,0.21333333333333335
835,Packers,Screen - Bubble,3,0.52,0,0,0.52,0.17333333333333334
836,Packers,Screen - Drag,1,0.36,0,0,0.36,0.36
837,Packers,Screen - Quick,2,0.48,0,0,0.48,0.24
838,Packers,Screen - RB,3,1.76,0,0,1.76,0.5866666666666667
839,Packers,Screen - Shovel,1,0.24,0,0,0.24,0.24
840,Packers,Screen - TE,2,0.24,0,0,0.24,0.12
841,Packers,Screen - Tunnel,3,1.08,0,0,1.08,0.36000000000000004
842,Packers,Seam,8,1.2,4,-2,3.2,0.4
843,Packers,Slant,42,12.200000000000001,4,0,16.2,0.3857142857142857
844,Packers,Sluggo,1,2.16,4,0,6.16,6.16
845,Packers,Swing - Left,7,0.84,0,0,0.84,0.12
846,Packers,Swing - Right,6,0.7599999999999999,0,0,0.7599999999999999,0.12666666666666665
847,Packers,Wheel,4,0.0,0,-1,-1.0,-0.25
848,Packers,Whip,13,1.8000000000000003,0,-1,0.8000000000000002,0.06153846153846155
849,Panthers,Angle,3,0.2,0,0,0.2,0.06666666666666667
850,Panthers,Beneath,3,0.88,4,0,4.88,1.6266666666666667
851,Panthers,Broken Play,23,5.280000000000001,4,-1,8.280000000000001,0.36000000000000004
852,Panthers,Check & Release,3,2.16,0,0,2.16,0.7200000000000001
853,Panthers,Chip - Curl,3,0.52,0,0,0.52,0.17333333333333334
854,Panthers,Chip - Drag,2,0.44000000000000006,0,0,0.44000000000000006,0.22000000000000003
855,Panthers,Chip - Flat,8,1.7999999999999998,4,0,5.8,0.725
856,Panthers,Comeback,3,0.56,0,0,0.56,0.18666666666666668
857,Panthers,Corner,7,3.04,4,0,7.04,1.0057142857142858
858,Panthers,Curl,70,16.88,12,0,28.879999999999992,0.4125714285714285
859,Panthers,Deep Cross,13,5.16,0,-1,4.16,0.32
860,Panthers,Dig,35,15.04,0,-1,14.040000000000003,0.40114285714285725
861,Panthers,Drag,10,1.76,0,0,1.76,0.176
862,Panthers,Fade,12,2.84,4,0,6.84,0.57
863,Panthers,Fade - Back Shoulder,4,1.4,4,0,5.4,1.35
864,Panthers,Flat - Left,14,3.120000000000001,0,0,3.120000000000001,0.22285714285714292
865,Panthers,Flat - Right,12,1.08,0,0,1.08,0.09000000000000001
866,Panthers,Go/Fly,13,4.6,0,0,4.6,0.3538461538461538
867,Panthers,Hitch & Go,2,0.92,4,0,4.92,2.46
868,Panthers,Jerk,2,0.48,0,0,0.48,0.24
869,Panthers,Jet Sweep Pass,2,-0.16,0,0,-0.16,-0.08
870,Panthers,Out,51,12.639999999999997,12,-1,23.64,0.4635294117647059
871,Panthers,Out & Up,6,3.88,4,0,7.880000000000001,1.3133333333333335
872,Panthers,Over Ball,4,0.48000000000000004,0,0,0.48000000000000004,0.12000000000000001
873,Panthers,Post,10,4.84,0,-1,3.8400000000000003,0.384
874,Panthers,Post Corner,1,0.0,0,0,0.0,0.0
875,Panthers,Quick,7,2.04,0,0,2.04,0.2914285714285714
876,Panthers,Screen - Bubble,5,1.3199999999999998,0,0,1.3199999999999998,0.26399999999999996
877,Panthers,Screen - Quick,1,0.28,0,0,0.28,0.28
878,Panthers,Screen - RB,1,0.12,0,0,0.12,0.12
879,Panthers,Screen - Tunnel,14,2.3200000000000003,0,0,2.3200000000000003,0.16571428571428573
880,Panthers,Seam,5,3.4000000000000004,0,0,3.4000000000000004,0.68
881,Panthers,Slant,44,17.519999999999996,20,-1,36.519999999999996,0.83
882,Panthers,Sluggo,4,2.24,4,0,6.24,1.56
883,Panthers,Stick - Nod,2,0.0,0,-1,-1.0,-0.5
884,Panthers,Swing - Left,2,0.0,0,0,0.0,0.0
885,Panthers,Swing - Right,3,0.0,0,0,0.0,0.0
886,Panthers,Wheel,3,0.0,0,-1,-1.0,-0.3333333333333333
887,Panthers,Whip,9,1.44,4,0,5.44,0.6044444444444445
888,Patriots,Angle,5,1.8,4,-1,4.800000000000001,0.9600000000000002
889,Patriots,Broken Play,46,15.999999999999998,8,-1,23.000000000000004,0.5000000000000001
890,Patriots,Check & Release,10,2.52,0,0,2.52,0.252
891,Patriots,Chip - Curl,1,0.0,0,-1,-1.0,-1.0
892,Patriots,Chip - Flat,8,1.92,0,0,1.92,0.24
893,Patriots,Chip - Seam,2,0.76,4,0,4.760000000000001,2.3800000000000003
894,Patriots,Comeback,5,1.04,0,-1,0.040000000000000036,0.008000000000000007
895,Patriots,Corner,16,4.36,4,-3,5.360000000000001,0.3350000000000001
896,Patriots,Curl,75,19.239999999999995,0,-5,14.24,0.18986666666666666
897,Patriots,Deep Cross,22,9.92,0,-2,7.92,0.36
898,Patriots,Dig,22,7.36,0,0,7.36,0.33454545454545453
899,Patriots,Drag,21,5.68,4,0,9.68,0.46095238095238095
900,Patriots,Fade,7,0.96,4,-1,3.96,0.5657142857142857
901,Patriots,Fade - Back Shoulder,3,1.04,0,0,1.04,0.3466666666666667
902,Patriots,Flat - Left,16,4.240000000000001,0,0,4.240000000000001,0.26500000000000007
903,Patriots,Flat - Right,14,4.4,0,0,4.4,0.31428571428571433
904,Patriots,Go/Fly,22,8.6,4,0,12.6,0.5727272727272728
905,Patriots,Hitch & Go,3,0.0,0,0,0.0,0.0
906,Patriots,Jet Sweep Pass,4,0.84,0,0,0.84,0.21
907,Patriots,Out,62,13.839999999999998,0,-3,10.839999999999998,0.17483870967741932
908,Patriots,Out & Up,2,1.08,0,0,1.08,0.54
909,Patriots,Over Ball,4,0.8800000000000001,0,0,0.8800000000000001,0.22000000000000003
910,Patriots,Post,10,3.04,4,0,7.040000000000001,0.7040000000000001
911,Patriots,Post Corner,1,1.4000000000000001,0,0,1.4000000000000001,1.4000000000000001
912,Patriots,Quick,4,0.39999999999999997,0,0,0.39999999999999997,0.09999999999999999
913,Patriots,Screen - Bubble,4,1.0,0,0,1.0,0.25
914,Patriots,Screen - Quick,2,0.04,4,0,4.04,2.02
915,Patriots,Screen - RB,1,0.0,0,0,0.0,0.0
916,Patriots,Screen - Tunnel,7,0.8,0,0,0.8,0.1142857142857143
917,Patriots,Seam,18,4.720000000000001,8,-1,11.72,0.6511111111111112
918,Patriots,Slant,19,4.920000000000001,8,0,12.919999999999998,0.6799999999999999
919,Patriots,Sluggo,1,0.0,0,0,0.0,0.0
920,Patriots,Stick - Nod,1,0.08,4,0,4.08,4.08
921,Patriots,Swing - Left,9,0.8400000000000001,0,0,0.8400000000000001,0.09333333333333334
922,Patriots,Swing - Right,14,2.88,0,0,2.88,0.2057142857142857
923,Patriots,Wheel,3,1.92,0,0,1.92,0.64
924,Patriots,Whip,8,2.6,0,0,2.6,0.325
925,Raiders,Angle,6,1.6,4,0,5.6,0.9333333333333332
926,Raiders,Beneath,1,0.4,0,0,0.4,0.4
927,Raiders,Broken Play,48,13.560000000000002,24,-2,35.56,0.7408333333333333
928,Raiders,Check & Release,10,2.12,0,0,2.12,0.21200000000000002
929,Raiders,Chip - Curl,5,1.72,0,0,1.72,0.344
930,Raiders,Chip - Drag,2,0.6,0,0,0.6,0.3
931,Raiders,Chip - Flat,10,2.0,0,0,2.0,0.2
932,Raiders,Comeback,9,2.8,0,0,2.8,0.3111111111111111
933,Raiders,Corner,17,7.32,8,0,15.32,0.9011764705882354
934,Raiders,Curl,121,28.639999999999983,8,-2,34.63999999999999,0.2862809917355371
935,Raiders,Deep Cross,20,7.840000000000001,8,0,15.840000000000002,0.792
936,Raiders,Dig,34,11.8,8,-1,18.799999999999994,0.552941176470588
937,Raiders,Drag,25,5.640000000000002,0,0,5.640000000000002,0.2256000000000001
938,Raiders,Fade,7,0.0,0,0,0.0,0.0
939,Raiders,Fade - Back Shoulder,7,3.6399999999999997,0,0,3.6399999999999997,0.5199999999999999
940,Raiders,Flat - Left,16,3.4400000000000013,0,0,3.4400000000000013,0.21500000000000008
941,Raiders,Flat - Right,17,3.600000000000001,4,0,7.600000000000001,0.44705882352941184
942,Raiders,Go/Fly,26,6.640000000000001,0,0,6.640000000000001,0.25538461538461543
943,Raiders,Hitch & Go,4,1.76,0,0,1.76,0.44
944,Raiders,Jerk,2,0.6000000000000001,0,0,0.6000000000000001,0.30000000000000004
945,Raiders,Jet Sweep Pass,3,0.96,0,0,0.96,0.32
946,Raiders,Out,46,13.2,8,0,21.2,0.4608695652173913
947,Raiders,Out & Up,5,3.6799999999999997,4,-1,6.68,1.3359999999999999
948,Raiders,Over Ball,19,3.6799999999999997,0,0,3.6799999999999997,0.19368421052631576
949,Raiders,Post,10,0.68,0,0,0.68,0.068
950,Raiders,Post Corner,1,0.32,4,0,4.32,4.32
951,Raiders,Quick,4,0.6799999999999999,0,0,0.6799999999999999,0.16999999999999998
952,Raiders,Screen - Bubble,2,0.28,0,0,0.28,0.14
953,Raiders,Screen - Drag,2,0.8,0,0,0.8,0.4
954,Raiders,Screen - Quick,1,0.28,0,0,0.28,0.28
955,Raiders,Screen - RB,5,1.52,0,0,1.52,0.304
956,Raiders,Screen - Shovel,3,0.24000000000000002,0,0,0.24000000000000002,0.08
