nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
Buccaneers,Prevent,2.8000000000000003,0,2,4.800000000000001,33.0,0.14545454545454548,5,580,0.008620689655172414
Buccaneers,Screen,51.20000000000001,12,70,133.2,168.0,0.7928571428571428,79,580,0.13620689655172413
Cardinals,Cover 0,5.3999999999999995,12,9,26.4,53.0,0.4981132075471698,21,431,0.048723897911832945
Cardinals,Cover 1,58.39999999999999,36,42,136.40000000000006,328.0,0.41585365853658557,74,431,0.1716937354988399
Cardinals,Cover 2,21.400000000000002,6,19,46.40000000000001,344.0,0.1348837209302326,23,431,0.05336426914153132
Cardinals,Cover 3,122.70000000000006,42,102,266.6999999999999,485.0,0.5498969072164945,149,431,0.345707656612529
Cardinals,Cover 4,40.4,0,40,80.4,235.0,0.3421276595744681,66,431,0.1531322505800464
Cardinals,Cover 6,5.5,0,7,12.5,104.0,0.1201923076923077,10,431,0.02320185614849188
Cardinals,Man Cover 2,20.8,6,14,40.800000000000004,59.0,0.6915254237288136,24,431,0.05568445475638051
Cardinals,Other,6.6000000000000005,0,3,9.6,10.0,0.96,3,431,0.0069605568445475635
Cardinals,Prevent,5.7,6,1,12.7,12.0,1.0583333333333333,2,431,0.004640371229698376
Cardinals,Screen,33.00000000000001,0,48,81.0,156.0,0.5192307692307693,59,431,0.1368909512761021
Chargers,Combination,0.4,0,1,1.4,14.0,0.09999999999999999,2,462,0.004329004329004329
Chargers,Cover 0,0.5,6,1,7.5,56.0,0.13392857142857142,2,462,0.004329004329004329
Chargers,Cover 1,73.10000000000001,24,55,152.10000000000008,690.0,0.22043478260869576,88,462,0.19047619047619047
Chargers,Cover 2,37.599999999999994,6,38,81.6,350.0,0.23314285714285712,52,462,0.11255411255411256
Chargers,Cover 3,115.99999999999999,36,101,252.99999999999991,763.0,0.3315858453473131,152,462,0.329004329004329
Chargers,Cover 4,56.9,6,42,104.89999999999999,398.0,0.26356783919597987,72,462,0.15584415584415584
Chargers,Cover 6,23.4,6,13,42.4,73.0,0.5808219178082191,17,462,0.0367965367965368
Chargers,Man Cover 2,18.1,0,14,32.1,124.0,0.2588709677419355,31,462,0.0670995670995671
Chargers,Prevent,5.4,0,3,8.4,17.0,0.49411764705882355,5,462,0.010822510822510822
Chargers,Screen,24.29999999999999,18,39,81.30000000000003,73.0,1.1136986301369867,41,462,0.08874458874458875
Chiefs,Combination,3.4000000000000004,0,2,5.4,20.0,0.27,2,602,0.0033222591362126247
Chiefs,Cover 0,18.5,18,16,52.500000000000014,2.0,26.250000000000007,32,602,0.053156146179401995
Chiefs,Cover 1,88.60000000000002,42,80,210.59999999999997,372.0,0.5661290322580644,150,602,0.24916943521594684
