,team,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1589,CAR,Terrace Marshall Jr.,Screen,1.9000000000000004,0,4,5.9,17.0,0.3470588235294118
1591,WAS,Terry McLaurin,Combination,0.0,0,0,0.0,3.0,0.0
1592,WAS,Terry McLaurin,Cover 0,0.0,0,0,0.0,6.0,0.0
1593,WAS,Terry McLaurin,Cover 2,10.4,0,8,18.4,72.0,0.25555555555555554
1594,WAS,Terry McLaurin,Cover 4,17.2,0,11,28.2,87.0,0.32413793103448274
1595,WAS,Terry McLaurin,Cover 6,6.200000000000001,0,4,10.200000000000001,19.0,0.5368421052631579
1596,WAS,Terry McLaurin,Man Cover 2,6.5,6,4,16.500000000000004,23.0,0.7173913043478263
1597,WAS,Terry McLaurin,Screen,6.2,0,8,14.2,31.0,0.45806451612903226
1601,NYJ,Tevin Coleman,Screen,3.1,0,6,9.100000000000001,8.0,1.1375000000000002
1602,DEN,Tim Patrick,Combination,1.2000000000000002,0,2,3.2,5.0,0.64
1603,DEN,Tim Patrick,Cover 0,4.2,0,2,6.199999999999999,6.0,1.0333333333333332
1604,DEN,Tim Patrick,Cover 2,8.600000000000001,6,7,21.6,58.0,0.3724137931034483
1605,DEN,Tim Patrick,Cover 4,4.200000000000001,0,5,9.200000000000001,59.0,0.15593220338983052
1606,DEN,Tim Patrick,Man Cover 2,3.9000000000000004,0,2,5.9,25.0,0.23600000000000002
1609,DET,Tom Kennedy,Cover 4,2.6,0,3,5.6,25.0,0.22399999999999998
1612,BUF,Tommy Sweeney,Cover 0,0.6000000000000001,0,1,1.6,2.0,0.8
1615,BUF,Tommy Sweeney,Cover 6,0.1,0,1,1.1,1.0,1.1
1616,CAR,Tommy Tremble,Cover 2,4.5,0,5,9.5,37.0,0.25675675675675674
1617,CAR,Tommy Tremble,Cover 4,1.6,0,3,4.6,34.0,0.13529411764705881
1621,DAL,Tony Pollard,Cover 0,0.1,0,1,1.1,2.0,0.55
1622,DAL,Tony Pollard,Cover 2,8.5,0,7,15.500000000000002,21.0,0.7380952380952381
1623,DAL,Tony Pollard,Cover 4,2.3000000000000003,0,6,8.3,19.0,0.4368421052631579
1624,DAL,Tony Pollard,Man Cover 2,0.0,0,0,0.0,5.0,0.0
1625,DAL,Tony Pollard,Screen,12.799999999999999,0,14,26.800000000000004,14.0,1.9142857142857146
1627,KC,Travis Kelce,Combination,0.0,0,0,0.0,4.0,0.0
1628,KC,Travis Kelce,Cover 2,14.100000000000003,0,14,28.1,80.0,0.35125
