,team,playerName,CoverageType_pooled,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
159,MIA,Chase Edmonds,Zone,8.500000000000002,0,11,19.500000000000004,37.0,0.5270270270270271
163,HOU,Chris Conley,Man,10.200000000000001,0,6,16.2,67.0,0.2417910447761194
164,HOU,Chris Conley,Other,2.5,0,6,8.500000000000002,21.0,0.4047619047619048
165,HOU,Chris Conley,Zone,20.1,12,10,42.10000000000001,137.0,0.30729927007299274
166,CIN,Chris Evans,Man,4.900000000000001,12,4,20.9,6.0,3.483333333333333
167,CIN,Chris Evans,Other,4.8,0,6,10.8,8.0,1.35
169,TB,Chris Godwin,Man,56.2,6,36,98.20000000000002,236.0,0.4161016949152543
170,TB,Chris Godwin,Other,30.000000000000007,24,41,94.99999999999996,79.0,1.2025316455696198
171,TB,Chris Godwin,Zone,30.500000000000007,0,24,54.50000000000001,195.0,0.27948717948717955
175,HOU,Chris Moore,Other,9.100000000000001,6,13,28.099999999999998,20.0,1.4049999999999998
178,ARI,Christian Blake,Other,0.0,0,0,0.0,1.0,0.0
180,JAX,Christian Kirk,Man,38.0,18,20,76.0,211.0,0.36018957345971564
181,JAX,Christian Kirk,Other,8.299999999999999,6,18,32.300000000000004,54.0,0.5981481481481482
182,JAX,Christian Kirk,Zone,57.29999999999999,6,47,110.30000000000001,231.0,0.4774891774891775
183,CAR,Christian McCaffrey,Man,16.500000000000004,0,15,31.5,49.0,0.6428571428571429
184,CAR,Christian McCaffrey,Other,4.8,0,8,12.799999999999999,11.0,1.1636363636363636
185,CAR,Christian McCaffrey,Zone,14.200000000000001,6,17,37.199999999999996,34.0,1.0941176470588234
186,CAR,Chuba Hubbard,Man,4.9,0,8,12.9,21.0,0.6142857142857143
187,CAR,Chuba Hubbard,Other,3.7000000000000006,6,6,15.7,23.0,0.6826086956521739
188,CAR,Chuba Hubbard,Zone,8.799999999999999,0,11,19.8,35.0,0.5657142857142857
189,KC,Clyde Edwards-Helaire,Man,4.800000000000001,0,6,10.8,13.0,0.8307692307692308
190,KC,Clyde Edwards-Helaire,Other,5.300000000000001,12,9,26.300000000000004,17.0,1.547058823529412
193,TEN,Cody Hollister,Other,0.8,0,1,1.8,3.0,0.6
198,CHI,Cole Kmet,Man,24.099999999999998,0,23,47.10000000000001,154.0,0.3058441558441559
199,CHI,Cole Kmet,Other,10.399999999999999,0,14,24.400000000000002,41.0,0.5951219512195123
200,CHI,Cole Kmet,Zone,28.599999999999998,0,25,53.6,239.0,0.22426778242677825
201,NYG,Collin Johnson,Man,3.6,0,5,8.6,41.0,0.2097560975609756
204,NYJ,Conor McDermott,Other,0.1,6,1,7.1,1.0,7.1
205,LAR,Cooper Kupp,Man,99.70000000000003,54,61,214.70000000000002,222.0,0.9671171171171172
206,LAR,Cooper Kupp,Other,44.9,48,44,136.89999999999998,58.0,2.3603448275862067
207,LAR,Cooper Kupp,Zone,99.49999999999997,36,76,211.49999999999997,285.0,0.7421052631578946
208,ATL,Cordarrelle Patterson,Man,16.2,6,10,32.2,52.0,0.6192307692307693
209,ATL,Cordarrelle Patterson,Other,13.999999999999998,12,19,45.00000000000001,25.0,1.8000000000000003
210,ATL,Cordarrelle Patterson,Zone,25.4,12,25,62.39999999999999,105.0,0.5942857142857142
211,NYJ,Corey Davis,Man,15.3,12,12,39.300000000000004,117.0,0.3358974358974359
212,NYJ,Corey Davis,Other,2.8,6,3,11.8,9.0,1.3111111111111111
213,NYJ,Corey Davis,Zone,31.099999999999998,6,19,56.099999999999994,130.0,0.4315384615384615
214,DEN,Courtland Sutton,Man,32.8,6,23,61.800000000000004,230.0,0.26869565217391306
215,DEN,Courtland Sutton,Other,3.2,0,3,6.2,41.0,0.15121951219512195
216,DEN,Courtland Sutton,Zone,44.09999999999999,6,34,84.10000000000002,243.0,0.34609053497942394
221,WAS,Curtis Samuel,Other,1.7,0,5,6.7,4.0,1.675
223,DET,D'Andre Swift,Man,7.300000000000001,0,13,20.300000000000004,73.0,0.278082191780822
224,DET,D'Andre Swift,Other,16.1,12,22,50.1,41.0,1.221951219512195
