,team,playerName,CoverageType_pooled,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
74,DET,Jared Goff,Man,144,30.879999999999992,8,-2,36.879999999999995,0.25611111111111107,144,478,0.301255230125523
75,DET,Jared Goff,Other,54,9.48,12,-1,20.479999999999997,0.3792592592592592,54,478,0.11297071129707113
76,DET,Jared Goff,Zone,280,72.96000000000002,32,-5,99.95999999999998,0.35699999999999993,280,478,0.5857740585774058
77,SF,Jimmy Garoppolo,Man,203,59.160000000000004,28,-2,85.16,0.4195073891625616,203,484,0.4194214876033058
78,SF,Jimmy Garoppolo,Other,73,19.959999999999997,24,0,43.96,0.6021917808219178,73,484,0.15082644628099173
79,SF,Jimmy Garoppolo,Zone,208,69.92000000000003,24,-12,81.91999999999999,0.3938461538461538,208,484,0.4297520661157025
80,CIN,Joe Burrow,Man,277,100.52,56,-9,147.52000000000004,0.532563176895307,277,708,0.3912429378531073
81,CIN,Joe Burrow,Other,108,27.87999999999999,40,-3,64.88000000000001,0.6007407407407408,108,708,0.15254237288135594
82,CIN,Joe Burrow,Zone,323,90.51999999999998,48,-6,132.51999999999998,0.4102786377708978,323,708,0.4562146892655367
83,NYJ,Joe Flacco,Man,16,7.88,8,0,15.88,0.9925,16,40,0.4
84,NYJ,Joe Flacco,Other,4,0.08,4,0,4.08,1.02,4,40,0.1
85,NYJ,Joe Flacco,Zone,20,4.96,0,0,4.96,0.248,20,40,0.5
86,LAR,John Wolford,Man,1,0.0,0,0,0.0,0.0,1,4,0.25
87,LAR,John Wolford,Zone,3,0.0,0,-1,-1.0,-0.3333333333333333,3,4,0.75
88,GB,Jordan Love,Man,22,3.3200000000000003,4,-2,5.319999999999999,0.2418181818181818,22,50,0.44
89,GB,Jordan Love,Other,8,1.2000000000000002,0,0,1.2000000000000002,0.15000000000000002,8,50,0.16
90,GB,Jordan Love,Zone,20,6.12,0,-1,5.12,0.256,20,50,0.4
91,BUF,Josh Allen,Man,269,72.32000000000002,56,-8,120.32,0.4472862453531598,269,651,0.41321044546851
92,BUF,Josh Allen,Other,119,21.279999999999998,36,0,57.279999999999994,0.481344537815126,119,651,0.1827956989247312
