,playerName,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
1256,Jalen Reagor,0/1 Step,7.1000000000000005,0,12,19.099999999999998,14.0,1.364285714285714
1257,Jalen Reagor,3 Step,11.899999999999999,6,11,28.9,22.0,1.3136363636363635
1258,Jalen Reagor,5 Step,4.0,0,3,7.000000000000001,12.0,0.5833333333333334
1262,Jalen Richard,0/1 Step,3.5,0,6,9.500000000000002,6.0,1.5833333333333337
1268,Jamaal Williams,7 Step,4.8,0,6,10.8,5.0,2.16
1272,Jamal Agnew,3 Step,8.1,0,11,19.1,16.0,1.19375
1273,Jamal Agnew,5 Step,3.3000000000000003,0,2,5.300000000000001,8.0,0.6625000000000001
1278,James Conner,3 Step,11.2,12,12,35.2,14.0,2.5142857142857147
1280,James Conner,7 Step,1.4000000000000001,0,2,3.4000000000000004,3.0,1.1333333333333335
1284,James O'Shaughnessy,3 Step,17.099999999999998,0,13,30.099999999999998,17.0,1.7705882352941176
1291,James Proche,0/1 Step,8.9,0,8,16.900000000000002,11.0,1.5363636363636366
1295,James Robinson,0/1 Step,3.9,0,5,8.9,7.0,1.2714285714285716
1296,James Robinson,3 Step,11.000000000000002,0,15,26.000000000000007,20.0,1.3000000000000003
1298,James Robinson,7 Step,3.9000000000000004,0,8,11.899999999999999,9.0,1.322222222222222
1302,James Washington,3 Step,23.999999999999996,12,17,53.00000000000001,32.0,1.6562500000000002
1309,Jamison Crowder,0/1 Step,5.5,0,8,13.5,12.0,1.125
1310,Jamison Crowder,3 Step,15.9,6,20,41.9,25.0,1.676
1311,Jamison Crowder,5 Step,13.600000000000001,0,12,25.6,16.0,1.6
1312,Jamison Crowder,7 Step,4.4,0,4,8.4,7.0,1.2
1317,Jared Cook,0/1 Step,10.4,6,14,30.400000000000002,20.0,1.52
1318,Jared Cook,3 Step,17.000000000000004,6,16,39.0,30.0,1.3
1319,Jared Cook,5 Step,9.700000000000001,12,8,29.700000000000003,16.0,1.8562500000000002
1320,Jared Cook,7 Step,11.5,6,7,24.499999999999996,8.0,3.0624999999999996
1328,Jarvis Landry,0/1 Step,8.100000000000001,0,7,15.1,8.0,1.8875
1329,Jarvis Landry,3 Step,18.2,0,17,35.199999999999996,35.0,1.0057142857142856
1330,Jarvis Landry,5 Step,22.4,0,18,40.400000000000006,26.0,1.553846153846154
1331,Jarvis Landry,7 Step,3.5,6,2,11.5,6.0,1.9166666666666667
1337,Jason Cabinda,7 Step,0.8,0,2,2.8,2.0,1.4
1344,Jauan Jennings,0/1 Step,8.1,12,8,28.1,13.0,2.161538461538462
1345,Jauan Jennings,3 Step,17.200000000000003,6,16,39.2,17.0,2.3058823529411767
1351,Javonte Williams,0/1 Step,12.300000000000002,12,14,38.3,15.0,2.5533333333333332
1353,Javonte Williams,5 Step,9.6,0,8,17.6,10.0,1.7600000000000002
1354,Javonte Williams,7 Step,1.5000000000000002,0,4,5.500000000000001,6.0,0.9166666666666669
1361,Jaylen Waddle,0/1 Step,15.099999999999998,0,23,38.1,33.0,1.1545454545454545
1362,Jaylen Waddle,3 Step,31.300000000000008,6,30,67.3,42.0,1.6023809523809522
1363,Jaylen Waddle,5 Step,27.900000000000002,6,25,58.9,30.0,1.9633333333333334
1364,Jaylen Waddle,7 Step,8.3,0,3,11.3,4.0,2.825
