team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
SF,Brandon Aiyuk,3.0,7 Step,6.5,0,2,8.5,3.0,2.8333333333333335,3,93,0.03225806451612903
LV,Brandon Bolden,11.0,0/1 Step,12.100000000000001,0,11,23.1,11.0,2.1,12,30,0.4
LV,Brandon Bolden,13.0,5 Step,9.400000000000002,0,10,19.400000000000002,13.0,1.4923076923076926,15,30,0.5
LV,Brandon Bolden,3.0,7 Step,0.9000000000000001,0,2,2.9000000000000004,3.0,0.9666666666666668,3,30,0.1
NYJ,Braxton Berrios,15.0,0/1 Step,9.9,0,13,22.9,15.0,1.5266666666666666,16,56,0.2857142857142857
NYJ,Braxton Berrios,22.0,3 Step,16.0,12,17,45.0,22.0,2.0454545454545454,22,56,0.39285714285714285
NYJ,Braxton Berrios,12.0,5 Step,5.1000000000000005,0,5,10.100000000000001,12.0,0.8416666666666668,12,56,0.21428571428571427
NYJ,Braxton Berrios,6.0,7 Step,6.6000000000000005,0,4,10.6,6.0,1.7666666666666666,6,56,0.10714285714285714
HOU,Brevin Jordan,6.0,5 Step,2.9000000000000004,0,4,6.9,6.0,1.1500000000000001,6,9,0.6666666666666666
HOU,Brevin Jordan,3.0,7 Step,1.4,6,2,9.4,3.0,3.1333333333333333,3,9,0.3333333333333333
ATL,Bryan Edwards,17.0,0/1 Step,20.100000000000005,12,14,46.1,17.0,2.711764705882353,23,68,0.3382352941176471
ATL,Bryan Edwards,22.0,3 Step,25.400000000000006,6,14,45.400000000000006,22.0,2.063636363636364,23,68,0.3382352941176471
ATL,Bryan Edwards,12.0,5 Step,15.000000000000002,0,7,22.0,12.0,1.8333333333333333,14,68,0.20588235294117646
ATL,Bryan Edwards,8.0,7 Step,2.7,0,2,4.7,8.0,0.5875,8,68,0.11764705882352941
CHI,Byron Pringle,16.0,0/1 Step,22.6,12,20,54.6,16.0,3.4125,24,64,0.375
CHI,Byron Pringle,27.0,3 Step,29.500000000000004,6,19,54.5,27.0,2.0185185185185186,31,64,0.484375
CHI,Byron Pringle,7.0,5 Step,7.4,6,6,19.4,7.0,2.7714285714285714,9,64,0.140625
MIN,C.J. Ham,5.0,7 Step,5.2,0,7,12.200000000000001,5.0,2.4400000000000004,7,7,1.0
NYJ,C.J. Uzomah,16.0,0/1 Step,19.599999999999998,6,19,44.60000000000001,16.0,2.7875000000000005,21,72,0.2916666666666667
NYJ,C.J. Uzomah,27.0,3 Step,20.500000000000007,12,23,55.50000000000001,27.0,2.055555555555556,36,72,0.5
NYJ,C.J. Uzomah,8.0,5 Step,8.799999999999999,6,10,24.8,8.0,3.1,13,72,0.18055555555555555
NYJ,C.J. Uzomah,2.0,7 Step,4.300000000000001,0,2,6.300000000000001,2.0,3.1500000000000004,2,72,0.027777777777777776
WAS,Cam Sims,9.0,5 Step,7.3,0,5,12.3,9.0,1.3666666666666667,9,11,0.8181818181818182
WAS,Cam Sims,2.0,7 Step,1.0,0,2,3.0,2.0,1.5,2,11,0.18181818181818182
TB,Cameron Brate,14.0,0/1 Step,6.6000000000000005,0,7,13.600000000000001,14.0,0.9714285714285715,15,55,0.2727272727272727
TB,Cameron Brate,30.0,3 Step,11.9,12,17,40.900000000000006,30.0,1.3633333333333335,33,55,0.6
TB,Cameron Brate,7.0,5 Step,4.7,6,5,15.7,7.0,2.242857142857143,7,55,0.12727272727272726
DAL,CeeDee Lamb,19.0,0/1 Step,17.300000000000004,0,17,34.3,19.0,1.8052631578947367,20,112,0.17857142857142858
DAL,CeeDee Lamb,33.0,3 Step,26.400000000000002,0,25,51.4,33.0,1.5575757575757576,38,112,0.3392857142857143
DAL,CeeDee Lamb,32.0,5 Step,41.50000000000001,18,19,78.49999999999999,32.0,2.4531249999999996,38,112,0.3392857142857143
DAL,CeeDee Lamb,16.0,7 Step,17.400000000000002,0,7,24.400000000000006,16.0,1.5250000000000004,16,112,0.14285714285714285
PIT,Chase Claypool,21.0,0/1 Step,11.1,6,14,31.1,21.0,1.480952380952381,25,94,0.26595744680851063
PIT,Chase Claypool,49.0,3 Step,50.699999999999996,6,27,83.70000000000002,49.0,1.7081632653061227,56,94,0.5957446808510638
PIT,Chase Claypool,12.0,5 Step,13.000000000000002,0,7,20.0,12.0,1.6666666666666667,13,94,0.13829787234042554
MIA,Chase Edmonds,15.0,3 Step,6.200000000000001,0,13,19.2,15.0,1.28,15,39,0.38461538461538464
MIA,Chase Edmonds,20.0,5 Step,11.6,0,14,25.6,20.0,1.28,21,39,0.5384615384615384
MIA,Chase Edmonds,3.0,7 Step,1.7000000000000002,0,3,4.7,3.0,1.5666666666666667,3,39,0.07692307692307693
HOU,Chris Conley,8.0,0/1 Step,3.8999999999999995,0,5,8.900000000000002,8.0,1.1125000000000003,8,28,0.2857142857142857
HOU,Chris Conley,13.0,3 Step,15.5,6,8,29.500000000000004,13.0,2.2692307692307696,13,28,0.4642857142857143
HOU,Chris Conley,6.0,5 Step,3.6000000000000005,0,2,5.6000000000000005,6.0,0.9333333333333335,7,28,0.25
CIN,Chris Evans,14.0,3 Step,13.400000000000002,6,11,30.400000000000006,14.0,2.1714285714285717,15,15,1.0
