,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
381,Chris Conley,Cover 6,0.0,0,0,0.0,18.0,0.0
383,Chris Conley,Prevent,0.8,0,1,1.8,6.0,0.3
384,Chris Conley,Screen,1.1,0,4,5.1000000000000005,13.0,0.39230769230769236
388,Chris Evans,Man Cover 2,0.0,0,0,0.0,6.0,0.0
389,Chris Evans,Prevent,1.2000000000000002,0,1,2.2,1.0,2.2
390,Chris Evans,Screen,2.5,0,4,6.5,7.0,0.9285714285714286
392,Chris Godwin,Cover 0,2.2,0,3,5.2,6.0,0.8666666666666667
393,Chris Godwin,Cover 2,9.2,0,7,16.200000000000003,65.0,0.24923076923076928
394,Chris Godwin,Cover 4,8.5,0,8,16.5,63.0,0.2619047619047619
395,Chris Godwin,Cover 6,4.0,0,2,6.0,15.0,0.4
396,Chris Godwin,Man Cover 2,15.200000000000003,6,8,29.200000000000003,49.0,0.5959183673469388
397,Chris Godwin,Screen,25.400000000000013,6,35,66.39999999999999,48.0,1.383333333333333
404,Chris Moore,Combination,2.7,0,1,3.7,1.0,3.7
408,Chris Moore,Other,2.8000000000000003,6,1,9.8,1.0,9.8
409,Chris Moore,Screen,3.6,0,11,14.600000000000001,16.0,0.9125000000000001
413,Christian Kirk,Cover 0,6.1,6,2,14.1,17.0,0.8294117647058823
414,Christian Kirk,Cover 2,15.300000000000002,0,11,26.299999999999997,81.0,0.32469135802469135
415,Christian Kirk,Cover 4,23.0,6,18,46.99999999999999,70.0,0.6714285714285714
416,Christian Kirk,Cover 6,4.700000000000001,0,2,6.700000000000001,29.0,0.23103448275862074
417,Christian Kirk,Man Cover 2,2.0,0,1,3.0,17.0,0.17647058823529413
419,Christian Kirk,Other,0.6000000000000001,0,1,1.6,1.0,1.6
420,Christian Kirk,Prevent,0.6000000000000001,0,1,1.6,3.0,0.5333333333333333
421,Christian Kirk,Screen,2.8000000000000007,0,12,14.8,33.0,0.4484848484848485
423,Christian McCaffrey,Cover 2,4.4,0,4,8.4,14.0,0.6
425,Christian McCaffrey,Cover 6,1.1,0,2,3.0999999999999996,5.0,0.6199999999999999
426,Christian McCaffrey,Man Cover 2,4.9,0,2,6.9,6.0,1.1500000000000001
427,Christian McCaffrey,Screen,4.8,0,8,12.799999999999999,10.0,1.2799999999999998
428,Chuba Hubbard,Cover 2,4.3,0,5,9.3,21.0,0.4428571428571429
430,Chuba Hubbard,Cover 6,3.6000000000000005,0,2,5.6000000000000005,2.0,2.8000000000000003
432,Chuba Hubbard,Prevent,0.0,0,0,0.0,2.0,0.0
433,Chuba Hubbard,Screen,3.7000000000000006,6,6,15.7,14.0,1.1214285714285714
434,Clyde Edwards-Helaire,Cover 2,3.0,0,4,7.0,13.0,0.5384615384615384
436,Clyde Edwards-Helaire,Screen,5.200000000000001,12,8,25.200000000000003,13.0,1.9384615384615387
445,Cole Beasley,Cover 0,0.2,0,1,1.2,12.0,0.09999999999999999
446,Cole Beasley,Cover 2,14.000000000000002,0,16,30.0,66.0,0.45454545454545453
447,Cole Beasley,Cover 4,13.000000000000002,0,13,25.999999999999993,62.0,0.4193548387096773
448,Cole Beasley,Cover 6,2.8,0,3,5.8,13.0,0.4461538461538461
449,Cole Beasley,Man Cover 2,2.2,0,2,4.2,29.0,0.14482758620689656
451,Cole Beasley,Other,1.2000000000000002,0,1,2.2,2.0,1.1
