,nickName,CoverageType_descr,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB
113,Chiefs,Cover 3,132,39.399999999999984,40,-5,74.40000000000002,0.5636363636363638
114,Chiefs,Cover 4,41,16.719999999999995,0,-2,14.719999999999999,0.3590243902439024
115,Chiefs,Cover 6,30,9.8,4,-1,12.8,0.4266666666666667
116,Chiefs,Man Cover 2,31,5.96,4,0,9.96,0.3212903225806452
117,Chiefs,No Video,6,2.4000000000000004,0,0,2.4000000000000004,0.4000000000000001
118,Chiefs,Prevent,3,1.36,0,0,1.36,0.45333333333333337
119,Chiefs,Screen,35,11.640000000000004,4,0,15.640000000000004,0.44685714285714295
120,Chiefs,Tampa 2,1,0.0,0,0,0.0,0.0
121,Colts,Cover 0,4,3.8800000000000003,12,0,15.879999999999999,3.9699999999999998
122,Colts,Cover 1,123,24.04,12,-5,31.040000000000006,0.25235772357723585
123,Colts,Cover 2,75,22.519999999999996,4,-3,23.52,0.3136
124,Colts,Cover 3,138,42.71999999999998,28,-5,65.71999999999997,0.4762318840579708
125,Colts,Cover 4,105,30.039999999999992,0,-3,27.039999999999996,0.2575238095238095
126,Colts,Cover 6,16,4.96,8,0,12.96,0.81
127,Colts,Man Cover 2,31,3.84,4,-2,5.84,0.18838709677419355
128,Colts,No Video,3,4.32,4,0,8.32,2.7733333333333334
129,Colts,Other,1,0.0,0,0,0.0,0.0
130,Colts,Prevent,5,1.48,0,0,1.48,0.296
131,Colts,Screen,27,2.4000000000000004,0,0,2.4000000000000004,0.0888888888888889
132,Colts,Tampa 2,11,3.4000000000000004,0,0,3.4000000000000004,0.30909090909090914
133,Cowboys,Combination,3,0.28,0,0,0.28,0.09333333333333334
134,Cowboys,Cover 0,10,2.88,4,0,6.880000000000002,0.6880000000000002
135,Cowboys,Cover 1,182,49.15999999999999,24,-7,66.16,0.3635164835164835
136,Cowboys,Cover 2,30,7.6400000000000015,0,-2,5.640000000000001,0.18800000000000003
137,Cowboys,Cover 3,119,42.91999999999999,20,-6,56.92,0.4783193277310924
138,Cowboys,Cover 4,58,11.959999999999999,4,-3,12.959999999999999,0.22344827586206895
139,Cowboys,Cover 6,5,1.08,0,-1,0.08000000000000007,0.016000000000000014
140,Cowboys,Man Cover 2,23,4.4,4,-1,7.400000000000001,0.32173913043478264
141,Cowboys,No Video,12,2.64,0,0,2.64,0.22
142,Cowboys,Prevent,5,0.0,0,-1,-1.0,-0.2
143,Cowboys,Screen,29,6.640000000000001,8,-1,13.639999999999999,0.4703448275862069
144,Cowboys,Tampa 2,32,9.32,0,0,9.32,0.29125
145,Dolphins,Combination,1,0.4,0,0,0.4,0.4
146,Dolphins,Cover 0,23,6.880000000000001,0,-1,5.88,0.25565217391304346
147,Dolphins,Cover 1,128,43.08,20,-2,61.08,0.4771875
148,Dolphins,Cover 2,37,10.840000000000002,4,-1,13.839999999999998,0.374054054054054
149,Dolphins,Cover 3,157,43.64000000000002,4,-2,45.64000000000002,0.2907006369426753
150,Dolphins,Cover 4,53,11.440000000000001,0,-1,10.440000000000001,0.19698113207547172
151,Dolphins,Cover 6,1,0.0,0,0,0.0,0.0
152,Dolphins,Man Cover 2,28,7.12,12,-2,17.119999999999997,0.6114285714285713
153,Dolphins,No Video,4,0.36,0,0,0.36,0.09
154,Dolphins,Other,2,0.44,0,0,0.44,0.22
155,Dolphins,Prevent,8,3.1199999999999997,0,0,3.1199999999999997,0.38999999999999996
156,Dolphins,Screen,39,6.280000000000001,0,0,6.280000000000001,0.16102564102564104
157,Dolphins,Tampa 2,8,1.84,0,0,1.84,0.23
158,Eagles,Combination,5,1.68,0,0,1.68,0.33599999999999997
159,Eagles,Cover 0,7,1.44,0,0,1.44,0.2057142857142857
160,Eagles,Cover 1,92,22.119999999999994,8,-1,29.119999999999987,0.31652173913043463
161,Eagles,Cover 2,93,28.439999999999984,12,-2,38.43999999999999,0.4133333333333332
162,Eagles,Cover 3,117,37.55999999999998,24,-4,57.55999999999999,0.49196581196581185
163,Eagles,Cover 4,101,26.119999999999987,4,-3,27.119999999999994,0.2685148514851485
164,Eagles,Cover 6,14,4.920000000000001,4,0,8.92,0.6371428571428571
165,Eagles,Man Cover 2,14,3.84,0,-1,2.84,0.20285714285714285
166,Eagles,No Video,5,0.48000000000000004,0,0,0.48000000000000004,0.096
167,Eagles,Prevent,2,0.44,0,0,0.44,0.22
168,Eagles,Screen,36,7.32,0,0,7.32,0.20333333333333334
169,Eagles,Tampa 2,6,2.68,4,0,6.680000000000001,1.1133333333333335
170,Falcons,Combination,4,1.44,4,0,5.44,1.36
171,Falcons,Cover 0,11,0.8800000000000001,4,0,4.88,0.4436363636363636
172,Falcons,Cover 1,115,27.24,40,-3,64.24,0.5586086956521739
173,Falcons,Cover 2,92,28.719999999999988,8,-2,34.72,0.3773913043478261
174,Falcons,Cover 3,120,37.68,0,-3,34.67999999999999,0.2889999999999999
175,Falcons,Cover 4,34,10.640000000000002,0,0,10.640000000000002,0.3129411764705883
176,Falcons,Cover 6,2,0.64,0,0,0.64,0.32
177,Falcons,Man Cover 2,15,4.8,8,0,12.8,0.8533333333333334
178,Falcons,No Video,4,0.6,0,0,0.6,0.15
179,Falcons,Prevent,2,0.0,0,0,0.0,0.0
180,Falcons,Screen,30,6.800000000000001,0,0,6.800000000000001,0.22666666666666668
181,Falcons,Tampa 2,29,13.040000000000003,4,0,17.040000000000003,0.5875862068965518
182,Football Team,Combination,1,0.0,0,0,0.0,0.0
183,Football Team,Cover 0,6,1.92,0,0,1.92,0.32
184,Football Team,Cover 1,112,37.000000000000014,28,-1,64.0,0.5714285714285714
185,Football Team,Cover 2,67,22.72,8,-1,29.720000000000002,0.4435820895522388
186,Football Team,Cover 3,127,40.80000000000001,12,-2,50.80000000000001,0.4000000000000001
187,Football Team,Cover 4,97,33.99999999999999,8,-1,40.99999999999999,0.42268041237113396
188,Football Team,Cover 6,14,3.32,0,0,3.32,0.23714285714285713
189,Football Team,Man Cover 2,16,2.6399999999999997,4,0,6.640000000000001,0.41500000000000004
190,Football Team,Other,2,1.08,4,0,5.08,2.54
191,Football Team,Prevent,6,1.6,0,0,1.6,0.26666666666666666
192,Football Team,Screen,22,5.400000000000001,0,0,5.400000000000001,0.2454545454545455
193,Football Team,Tampa 2,5,1.24,0,0,1.24,0.248
194,Giants,Cover 0,5,0.0,0,-1,-1.0,-0.2
195,Giants,Cover 1,74,25.72,28,-2,51.72000000000002,0.6989189189189192
196,Giants,Cover 2,41,11.0,4,-1,14.0,0.34146341463414637
197,Giants,Cover 3,146,40.24,8,-6,42.240000000000016,0.2893150684931508
198,Giants,Cover 4,120,33.839999999999996,8,-2,39.84,0.332
199,Giants,Cover 6,19,3.24,0,0,3.24,0.1705263157894737
200,Giants,Man Cover 2,40,5.880000000000001,0,0,5.880000000000001,0.14700000000000002
201,Giants,No Video,4,0.2,0,0,0.2,0.05
202,Giants,Other,1,0.88,0,0,0.88,0.88
203,Giants,Prevent,4,0.0,0,-1,-1.0,-0.25
204,Giants,Screen,35,7.720000000000002,4,0,11.72,0.33485714285714285
205,Giants,Tampa 2,6,0.92,0,0,0.92,0.15333333333333335
206,Jaguars,Cover 0,11,3.04,4,0,7.040000000000001,0.6400000000000001
207,Jaguars,Cover 1,123,33.760000000000005,32,-1,64.75999999999999,0.5265040650406503
208,Jaguars,Cover 2,62,17.279999999999998,0,-1,16.28,0.2625806451612903
209,Jaguars,Cover 3,132,41.239999999999995,4,-1,44.24,0.33515151515151514
210,Jaguars,Cover 4,64,20.96,0,-3,17.96,0.280625
211,Jaguars,Cover 6,4,0.76,0,0,0.76,0.19
212,Jaguars,Man Cover 2,18,5.720000000000001,0,0,5.720000000000001,0.3177777777777778
213,Jaguars,No Video,2,0.6000000000000001,0,0,0.6000000000000001,0.30000000000000004
214,Jaguars,Prevent,3,1.52,0,0,1.52,0.5066666666666667
215,Jaguars,Screen,22,7.16,0,0,7.16,0.32545454545454544
216,Jaguars,Tampa 2,40,6.080000000000002,0,-1,5.080000000000001,0.12700000000000003
217,Jets,Combination,2,0.8400000000000001,0,0,0.8400000000000001,0.42000000000000004
218,Jets,Cover 0,5,1.92,12,0,13.920000000000002,2.7840000000000003
219,Jets,Cover 1,174,48.84,20,-2,66.84,0.3841379310344828
220,Jets,Cover 2,23,6.0,0,-1,5.0,0.21739130434782608
221,Jets,Cover 3,128,38.68,24,-1,61.679999999999986,0.4818749999999999
222,Jets,Cover 4,93,33.12,12,0,45.12,0.4851612903225806
223,Jets,Cover 6,34,10.079999999999998,4,0,14.08,0.41411764705882353
224,Jets,Man Cover 2,7,1.56,0,0,1.56,0.22285714285714286
225,Jets,Prevent,2,0.2,0,0,0.2,0.1
226,Jets,Screen,28,6.44,4,-1,9.44,0.33714285714285713
227,Lions,Combination,7,1.44,0,0,1.44,0.2057142857142857
228,Lions,Cover 0,14,2.48,8,0,10.48,0.7485714285714286
229,Lions,Cover 1,113,39.12,24,-3,60.12,0.5320353982300885
230,Lions,Cover 2,63,15.799999999999995,0,-1,14.799999999999995,0.23492063492063484
231,Lions,Cover 3,103,37.199999999999996,8,-3,42.199999999999996,0.40970873786407763
232,Lions,Cover 4,71,22.76,4,-3,23.76,0.3346478873239437
233,Lions,Cover 6,18,3.84,0,0,3.84,0.21333333333333332
234,Lions,Man Cover 2,30,9.240000000000002,4,0,13.240000000000002,0.4413333333333334
235,Lions,Other,2,0.0,0,0,0.0,0.0
236,Lions,Prevent,6,0.64,0,0,0.64,0.10666666666666667
237,Lions,Screen,33,8.48,8,0,16.479999999999997,0.4993939393939393
238,Lions,Tampa 2,14,4.28,4,0,8.280000000000001,0.5914285714285715
239,Packers,Combination,2,0.76,0,-1,-0.24,-0.12
