,playerName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
193,Anthony Miller,Cover 3,10.100000000000001,0,12,22.1,125.0,0.1768
194,Anthony Miller,Cover 4,7.199999999999999,0,9,16.2,72.0,0.22499999999999998
195,Anthony Miller,Cover 6,1.2000000000000002,0,1,2.2,7.0,0.31428571428571433
196,Anthony Miller,Man Cover 2,4.4,0,5,9.4,22.0,0.4272727272727273
197,Anthony Miller,Screen,0.7000000000000001,0,5,5.699999999999999,24.0,0.23749999999999996
202,Antonio Brown,Cover 1,20.000000000000004,18,11,49.0,51.0,0.9607843137254902
204,Antonio Brown,Cover 3,11.400000000000002,6,11,28.400000000000002,59.0,0.48135593220338985
205,Antonio Brown,Cover 4,0.4,0,1,1.4,20.0,0.06999999999999999
206,Antonio Brown,Cover 6,0.0,0,0,0.0,4.0,0.0
207,Antonio Brown,Man Cover 2,3.9,0,3,6.9,29.0,0.23793103448275862
208,Antonio Brown,Other,3.6,6,1,10.6,4.0,2.65
209,Antonio Brown,Prevent,1.6,0,1,2.6,7.0,0.37142857142857144
210,Antonio Brown,Screen,12.7,0,21,33.7,28.0,1.2035714285714287
211,Antonio Callaway,Cover 0,0.0,0,0,0.0,4.0,0.0
218,Antonio Gibson,Cover 1,2.6,0,5,7.6,34.0,0.22352941176470587
220,Antonio Gibson,Cover 3,11.900000000000002,0,18,29.900000000000002,57.0,0.524561403508772
221,Antonio Gibson,Cover 6,1.1,0,2,3.1,5.0,0.62
222,Antonio Gibson,Man Cover 2,0.4,0,1,1.4,3.0,0.4666666666666666
223,Antonio Gibson,Screen,7.299999999999999,0,7,14.300000000000002,19.0,0.7526315789473685
231,Auden Tate,Cover 1,4.1,0,4,8.1,20.0,0.40499999999999997
235,Auden Tate,Prevent,1.9000000000000001,0,1,2.9000000000000004,2.0,1.4500000000000002
241,Austin Ekeler,Cover 1,1.9,6,4,11.9,39.0,0.30512820512820515
242,Austin Ekeler,Cover 2,5.6,0,6,11.6,26.0,0.4461538461538461
243,Austin Ekeler,Cover 3,6.300000000000001,0,11,17.3,50.0,0.34600000000000003
244,Austin Ekeler,Cover 4,6.800000000000001,0,9,15.8,40.0,0.395
245,Austin Ekeler,Cover 6,1.8,0,3,4.8,10.0,0.48
246,Austin Ekeler,Screen,14.700000000000003,6,18,38.7,31.0,1.2483870967741937
248,Austin Hooper,Cover 0,1.9000000000000001,0,3,4.9,3.0,1.6333333333333335
249,Austin Hooper,Cover 1,7.2,0,9,16.200000000000003,64.0,0.25312500000000004
250,Austin Hooper,Cover 2,8.700000000000001,0,8,16.700000000000003,46.0,0.36304347826086963
251,Austin Hooper,Cover 3,17.9,12,16,45.90000000000001,84.0,0.5464285714285716
252,Austin Hooper,Cover 4,5.500000000000001,12,7,24.5,50.0,0.49
253,Austin Hooper,Cover 6,1.9000000000000001,0,2,3.9000000000000004,9.0,0.43333333333333335
254,Austin Hooper,Man Cover 2,1.6,0,2,3.6,10.0,0.36
255,Austin Hooper,Other,0.2,6,1,7.2,12.0,0.6
256,Austin Hooper,Screen,3.5999999999999996,0,7,10.6,25.0,0.424
273,Benny Snell,Cover 0,0.0,0,0,0.0,3.0,0.0
280,Blake Bell,Cover 2,4.5,0,3,7.5,12.0,0.625
286,Boston Scott,Cover 0,0.0,0,0,0.0,7.0,0.0
288,Boston Scott,Cover 2,3.2,0,3,6.2,15.0,0.41333333333333333
289,Boston Scott,Cover 3,7.4,0,8,15.4,49.0,0.3142857142857143
291,Boston Scott,Man Cover 2,1.8,6,1,8.8,16.0,0.55
292,Boston Scott,Screen,4.1,0,6,10.100000000000001,14.0,0.7214285714285715
293,Brandin Cooks,Combination,1.6,0,1,2.6,16.0,0.1625
294,Brandin Cooks,Cover 0,2.9000000000000004,12,2,16.9,17.0,0.9941176470588234
295,Brandin Cooks,Cover 1,31.899999999999995,6,18,55.89999999999999,159.0,0.3515723270440251
296,Brandin Cooks,Cover 2,10.8,0,6,16.8,55.0,0.3054545454545455
297,Brandin Cooks,Cover 3,38.0,6,29,73.0,176.0,0.4147727272727273
298,Brandin Cooks,Cover 4,16.1,12,10,38.10000000000001,68.0,0.5602941176470589
299,Brandin Cooks,Cover 6,1.5,0,2,3.5,16.0,0.21875
300,Brandin Cooks,Man Cover 2,2.7,0,3,5.699999999999999,12.0,0.4749999999999999
301,Brandin Cooks,Prevent,1.2000000000000002,0,1,2.2,22.0,0.1
302,Brandin Cooks,Screen,10.799999999999999,6,11,27.799999999999997,45.0,0.6177777777777778
304,Brandon Aiyuk,Cover 0,4.200000000000001,12,5,21.2,13.0,1.6307692307692307
305,Brandon Aiyuk,Cover 1,11.3,0,9,20.3,89.0,0.22808988764044943
306,Brandon Aiyuk,Cover 2,6.6000000000000005,0,4,10.600000000000001,43.0,0.24651162790697678
307,Brandon Aiyuk,Cover 3,33.5,12,22,67.5,148.0,0.4560810810810811
308,Brandon Aiyuk,Cover 4,4.9,0,4,8.9,62.0,0.1435483870967742
310,Brandon Aiyuk,Man Cover 2,1.2000000000000002,0,1,2.2,15.0,0.14666666666666667
311,Brandon Aiyuk,Other,0.9,0,1,1.9,13.0,0.14615384615384613
312,Brandon Aiyuk,Screen,8.2,6,11,25.2,38.0,0.6631578947368421
316,Brandon Powell,Cover 0,1.3,12,2,15.3,6.0,2.5500000000000003
317,Brandon Powell,Cover 1,1.8000000000000003,0,3,4.800000000000001,32.0,0.15000000000000002
321,Brandon Powell,Man Cover 2,0.30000000000000004,0,1,1.3,17.0,0.07647058823529412
328,Braxton Berrios,Cover 1,10.4,12,7,29.400000000000002,58.0,0.506896551724138
329,Braxton Berrios,Cover 2,4.4,6,3,13.4,25.0,0.536
330,Braxton Berrios,Cover 3,12.700000000000001,0,8,20.7,41.0,0.5048780487804878
331,Braxton Berrios,Cover 4,4.300000000000001,0,6,10.3,23.0,0.44782608695652176
332,Braxton Berrios,Man Cover 2,0.8,0,1,1.8,7.0,0.2571428571428572
333,Braxton Berrios,Screen,6.0,0,11,17.0,19.0,0.8947368421052632
335,Breshad Perriman,Combination,3.7,0,1,4.7,18.0,0.2611111111111111
337,Breshad Perriman,Cover 1,16.8,0,8,24.8,107.0,0.23177570093457944
339,Breshad Perriman,Cover 3,24.200000000000003,18,11,53.20000000000001,120.0,0.4433333333333334
340,Breshad Perriman,Cover 4,2.1,0,3,5.1,51.0,0.09999999999999999
341,Breshad Perriman,Cover 6,1.3,0,1,2.3,12.0,0.19166666666666665
342,Breshad Perriman,Screen,2.1000000000000005,0,6,8.1,30.0,0.26999999999999996
344,Brian Hill,Cover 2,6.2,0,6,12.2,26.0,0.46923076923076923
346,Brian Hill,Cover 4,1.9000000000000001,0,4,5.8999999999999995,29.0,0.20344827586206896
347,Brian Hill,Cover 6,0.9,0,2,2.9,5.0,0.58
348,Brian Hill,Man Cover 2,1.3,0,1,2.3,21.0,0.10952380952380951
349,Brian Hill,Screen,4.4,0,4,8.4,10.0,0.8400000000000001
355,Bryan Edwards,Man Cover 2,0.0,0,0,0.0,5.0,0.0
364,Byron Pringle,Man Cover 2,4.9,0,4,8.9,5.0,1.78
370,C.J. Board,Cover 4,5.1,0,5,10.1,24.0,0.42083333333333334
371,C.J. Board,Cover 6,0.0,0,0,0.0,1.0,0.0
378,C.J. Prosise,Cover 0,0.2,6,1,7.2,2.0,3.6
381,C.J. Prosise,Cover 6,1.3,0,2,3.3,4.0,0.825
385,C.J. Uzomah,Man Cover 2,1.5,0,1,2.5,2.0,1.25
386,Calvin Ridley,Cover 0,4.300000000000001,12,2,18.3,14.0,1.3071428571428572
387,Calvin Ridley,Cover 1,38.8,12,19,69.80000000000001,118.0,0.5915254237288137
388,Calvin Ridley,Cover 2,14.099999999999998,6,12,32.10000000000001,78.0,0.41153846153846163
389,Calvin Ridley,Cover 3,42.19999999999999,12,29,83.2,136.0,0.611764705882353
390,Calvin Ridley,Cover 4,21.000000000000004,12,13,46.0,95.0,0.4842105263157895
391,Calvin Ridley,Cover 6,2.4000000000000004,0,1,3.4000000000000004,15.0,0.22666666666666668
392,Calvin Ridley,Man Cover 2,11.1,0,10,21.099999999999998,73.0,0.28904109589041094
393,Calvin Ridley,Other,0.0,0,0,0.0,16.0,0.0
394,Calvin Ridley,Screen,0.0,0,1,1.0,31.0,0.03225806451612903
396,Cam Akers,Cover 0,0.4,6,1,7.4,4.0,1.85
399,Cam Akers,Cover 3,13.600000000000001,0,8,21.6,38.0,0.5684210526315789
403,Cam Sims,Cover 1,17.5,0,9,26.500000000000004,78.0,0.3397435897435898
405,Cam Sims,Cover 3,22.200000000000003,0,16,38.199999999999996,139.0,0.27482014388489207
406,Cam Sims,Cover 4,4.5,0,3,7.5,58.0,0.12931034482758622
407,Cam Sims,Cover 6,0.9,0,1,1.9,8.0,0.2375
408,Cam Sims,Man Cover 2,4.800000000000001,6,4,14.799999999999999,21.0,0.7047619047619047
409,Cam Sims,Screen,4.4,0,4,8.4,16.0,0.525
416,Cameron Brate,Cover 0,0.5,0,1,1.5,5.0,0.3
417,Cameron Brate,Cover 1,12.200000000000003,12,11,35.2,40.0,0.8800000000000001
418,Cameron Brate,Cover 2,8.3,0,6,14.3,19.0,0.7526315789473684
420,Cameron Brate,Cover 4,7.800000000000001,6,7,20.799999999999997,22.0,0.9454545454545453
421,Cameron Brate,Cover 6,0.7000000000000001,0,1,1.7000000000000002,7.0,0.24285714285714288
422,Cameron Brate,Man Cover 2,4.2,0,5,9.2,12.0,0.7666666666666666
429,Carlos Hyde,Man Cover 2,0.5,0,1,1.5,8.0,0.1875
432,Cedrick Wilson,Cover 0,1.0,0,2,3.0,10.0,0.3
435,Cedrick Wilson,Cover 4,1.6,0,2,3.6,39.0,0.09230769230769231
436,Cedrick Wilson,Cover 6,1.6,0,1,2.6,5.0,0.52
437,Cedrick Wilson,Prevent,0.6000000000000001,0,1,1.6,11.0,0.14545454545454548
438,Cedrick Wilson,Screen,2.2,0,5,7.2,17.0,0.4235294117647059
440,CeeDee Lamb,Combination,0.0,0,0,0.0,15.0,0.0
441,CeeDee Lamb,Cover 0,0.7000000000000001,0,1,1.7000000000000002,14.0,0.12142857142857144
442,CeeDee Lamb,Cover 1,17.1,12,11,40.099999999999994,90.0,0.4455555555555555
443,CeeDee Lamb,Cover 2,6.7,0,5,11.7,72.0,0.16249999999999998
444,CeeDee Lamb,Cover 3,27.799999999999997,0,20,47.800000000000004,117.0,0.4085470085470086
445,CeeDee Lamb,Cover 4,24.799999999999997,18,13,55.800000000000004,101.0,0.5524752475247525
447,CeeDee Lamb,Man Cover 2,8.0,0,5,13.0,33.0,0.3939393939393939
448,CeeDee Lamb,Prevent,0.0,0,0,0.0,20.0,0.0
449,CeeDee Lamb,Screen,5.8,0,16,21.800000000000004,41.0,0.5317073170731709
456,Chad Beebe,Cover 3,8.0,0,9,16.999999999999996,56.0,0.3035714285714285
457,Chad Beebe,Cover 4,3.6,6,4,13.6,37.0,0.36756756756756753
458,Chad Beebe,Cover 6,0.5,0,1,1.5,8.0,0.1875
459,Chad Beebe,Man Cover 2,0.4,0,1,1.4,22.0,0.06363636363636363
460,Chad Beebe,Prevent,4.0,6,1,11.0,12.0,0.9166666666666666
464,Chad Hansen,Cover 3,8.5,6,5,19.5,68.0,0.2867647058823529
466,Chad Hansen,Cover 6,7.100000000000001,0,4,11.100000000000001,13.0,0.8538461538461539
467,Chad Hansen,Prevent,0.8,0,1,1.8,16.0,0.1125
468,Chad Hansen,Screen,0.4,0,1,1.4,19.0,0.07368421052631578
475,Chase Claypool,Combination,0.0,0,0,0.0,12.0,0.0
476,Chase Claypool,Cover 0,3.8000000000000003,0,2,5.800000000000001,11.0,0.5272727272727273
477,Chase Claypool,Cover 1,26.900000000000002,18,16,60.900000000000006,101.0,0.6029702970297031
478,Chase Claypool,Cover 2,4.8,6,4,14.8,63.0,0.23492063492063492
479,Chase Claypool,Cover 3,20.200000000000006,6,20,46.19999999999999,116.0,0.3982758620689654
480,Chase Claypool,Cover 4,17.3,12,14,43.300000000000004,57.0,0.7596491228070176
481,Chase Claypool,Cover 6,4.3,6,2,12.3,7.0,1.7571428571428573
482,Chase Claypool,Man Cover 2,11.299999999999999,12,4,27.3,22.0,1.240909090909091
483,Chase Claypool,Other,0.0,0,0,0.0,8.0,0.0
484,Chase Claypool,Prevent,1.5,0,1,2.5,12.0,0.20833333333333334
485,Chase Claypool,Screen,5.4,6,6,17.4,33.0,0.5272727272727272
487,Chase Edmonds,Combination,0.4,0,1,1.4,8.0,0.175
488,Chase Edmonds,Cover 0,1.5000000000000002,12,3,16.5,14.0,1.1785714285714286
489,Chase Edmonds,Cover 1,3.8000000000000003,0,5,8.8,41.0,0.21463414634146344
490,Chase Edmonds,Cover 2,8.5,0,10,18.5,33.0,0.5606060606060606
491,Chase Edmonds,Cover 3,11.800000000000002,6,13,30.800000000000004,69.0,0.44637681159420295
492,Chase Edmonds,Cover 4,9.3,0,9,18.300000000000004,61.0,0.30000000000000004
493,Chase Edmonds,Cover 6,2.3,0,3,5.3,7.0,0.7571428571428571
494,Chase Edmonds,Other,0.30000000000000004,6,1,7.3,10.0,0.73
495,Chase Edmonds,Screen,4.2,0,10,14.200000000000003,29.0,0.4896551724137932
496,Chris Carson,Combination,1.3,0,1,2.3,4.0,0.575
498,Chris Carson,Cover 1,7.800000000000001,6,6,19.800000000000004,39.0,0.5076923076923078
499,Chris Carson,Cover 2,2.5,0,4,6.5,34.0,0.19117647058823528
500,Chris Carson,Cover 3,9.700000000000001,12,12,33.7,42.0,0.8023809523809524
501,Chris Carson,Cover 4,3.6000000000000005,0,7,10.6,18.0,0.5888888888888889
502,Chris Carson,Cover 6,0.4,0,1,1.4,2.0,0.7
503,Chris Carson,Screen,4.3,6,8,18.3,15.0,1.22
505,Chris Conley,Cover 0,1.3,6,1,8.3,6.0,1.3833333333333335
506,Chris Conley,Cover 1,20.0,0,16,36.00000000000001,80.0,0.45000000000000007
507,Chris Conley,Cover 2,8.000000000000002,0,5,13.000000000000002,44.0,0.29545454545454547
508,Chris Conley,Cover 3,6.9,0,9,15.899999999999999,79.0,0.20126582278481012
509,Chris Conley,Cover 4,3.3,0,3,6.3,42.0,0.15
510,Chris Conley,Cover 6,3.4,0,3,6.4,11.0,0.5818181818181819
511,Chris Conley,Man Cover 2,2.8000000000000003,6,1,9.8,13.0,0.7538461538461539
512,Chris Conley,Screen,2.7,0,3,5.699999999999999,24.0,0.23749999999999996
513,Chris Godwin,Cover 0,0.6000000000000001,0,1,1.6,15.0,0.10666666666666667
514,Chris Godwin,Cover 1,26.4,12,17,55.400000000000006,113.0,0.4902654867256638
515,Chris Godwin,Cover 2,12.1,0,15,27.1,46.0,0.5891304347826087
516,Chris Godwin,Cover 3,28.5,24,13,65.5,90.0,0.7277777777777777
517,Chris Godwin,Cover 4,15.5,18,9,42.50000000000001,49.0,0.8673469387755104
519,Chris Godwin,Man Cover 2,11.799999999999999,0,10,21.800000000000004,47.0,0.46382978723404267
520,Chris Godwin,Prevent,1.4000000000000001,0,1,2.4000000000000004,13.0,0.18461538461538465
521,Chris Godwin,Screen,13.9,0,17,30.900000000000002,34.0,0.9088235294117648
523,Chris Herndon,Cover 1,6.000000000000001,0,4,10.000000000000002,104.0,0.09615384615384617
524,Chris Herndon,Cover 2,3.5,0,4,7.5,34.0,0.22058823529411764
525,Chris Herndon,Cover 3,9.499999999999998,12,11,32.5,72.0,0.4513888888888889
527,Chris Herndon,Cover 6,0.1,0,1,1.1,12.0,0.09166666666666667
528,Chris Herndon,Man Cover 2,3.6,6,2,11.6,9.0,1.2888888888888888
529,Chris Herndon,Screen,4.4,0,8,12.400000000000002,24.0,0.5166666666666667
530,Chris Hogan,Combination,0.0,0,0,0.0,9.0,0.0
531,Chris Hogan,Cover 1,3.5,0,6,9.5,71.0,0.13380281690140844
534,Chris Hogan,Cover 4,4.2,0,3,7.199999999999999,14.0,0.5142857142857142
539,Chris Manhertz,Cover 2,2.5,0,2,4.5,13.0,0.34615384615384615
544,Chris Thompson,Combination,0.0,0,0,0.0,5.0,0.0
546,Chris Thompson,Cover 2,2.6,0,3,5.6,14.0,0.39999999999999997
548,Chris Thompson,Cover 4,4.300000000000001,0,6,10.3,25.0,0.41200000000000003
549,Chris Thompson,Screen,3.4000000000000004,0,5,8.4,9.0,0.9333333333333333
554,Christian Blake,Cover 6,1.9000000000000001,0,1,2.9000000000000004,6.0,0.4833333333333334
555,Christian Blake,Man Cover 2,2.8,0,2,4.8,17.0,0.2823529411764706
556,Christian Blake,Prevent,0.0,0,0,0.0,9.0,0.0
558,Christian Kirk,Cover 0,7.5,6,3,16.500000000000004,27.0,0.6111111111111113
559,Christian Kirk,Cover 1,9.100000000000001,0,5,14.100000000000001,69.0,0.20434782608695654
561,Christian Kirk,Cover 3,28.999999999999996,6,21,56.00000000000001,152.0,0.368421052631579
562,Christian Kirk,Cover 4,12.8,18,11,41.8,103.0,0.40582524271844655
563,Christian Kirk,Prevent,1.6,0,1,2.6,19.0,0.1368421052631579
564,Christian Kirk,Screen,2.5,6,7,15.5,38.0,0.40789473684210525
565,Christian McCaffrey,Combination,0.8,0,1,1.8,7.0,0.2571428571428572
571,Christian McCaffrey,Cover 6,1.6,0,1,2.6,6.0,0.43333333333333335
572,Christian McCaffrey,Man Cover 2,2.5000000000000004,0,2,4.5,9.0,0.5
573,Christian McCaffrey,Prevent,0.0,0,1,1.0,8.0,0.125
574,Christian McCaffrey,Screen,3.6000000000000005,0,4,7.6000000000000005,16.0,0.47500000000000003
575,Clyde Edwards-Helaire,Cover 0,0.4,6,1,7.4,8.0,0.925
576,Clyde Edwards-Helaire,Cover 1,6.500000000000001,6,6,18.5,39.0,0.47435897435897434
577,Clyde Edwards-Helaire,Cover 2,2.4,0,4,6.4,31.0,0.2064516129032258
578,Clyde Edwards-Helaire,Cover 3,13.0,0,12,25.000000000000007,58.0,0.43103448275862083
579,Clyde Edwards-Helaire,Cover 4,5.1000000000000005,0,7,12.1,44.0,0.27499999999999997
580,Clyde Edwards-Helaire,Man Cover 2,2.0,0,2,4.0,15.0,0.26666666666666666
