,team,playerName,Routes Run,DropType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes
406,CHI,Cole Kmet,23.0,0/1 Step,14.1,0,15,29.1,23.0,1.2652173913043478
407,CHI,Cole Kmet,38.0,3 Step,22.7,0,21,43.699999999999996,38.0,1.15
408,CHI,Cole Kmet,14.0,5 Step,13.899999999999999,0,13,26.900000000000002,14.0,1.9214285714285715
409,CHI,Cole Kmet,2.0,7 Step,1.8,0,2,3.8,2.0,1.9
425,LAR,Cooper Kupp,16.0,0/1 Step,15.100000000000001,0,17,32.1,16.0,2.00625
426,LAR,Cooper Kupp,76.0,3 Step,82.60000000000001,72,70,224.6,76.0,2.955263157894737
427,LAR,Cooper Kupp,50.0,5 Step,69.20000000000002,30,39,138.20000000000002,50.0,2.7640000000000002
428,LAR,Cooper Kupp,18.0,7 Step,39.300000000000004,6,14,59.30000000000001,18.0,3.294444444444445
433,ATL,Cordarrelle Patterson,19.0,0/1 Step,9.399999999999999,0,14,23.400000000000002,19.0,1.231578947368421
434,ATL,Cordarrelle Patterson,21.0,3 Step,27.000000000000004,18,16,61.0,21.0,2.9047619047619047
435,ATL,Cordarrelle Patterson,15.0,5 Step,12.1,12,12,36.1,15.0,2.4066666666666667
436,ATL,Cordarrelle Patterson,2.0,7 Step,0.5000000000000001,0,2,2.5,2.0,1.25
443,NYJ,Corey Davis,24.0,3 Step,16.8,0,15,31.8,24.0,1.325
444,NYJ,Corey Davis,16.0,5 Step,13.600000000000001,12,8,33.6,16.0,2.1
445,NYJ,Corey Davis,10.0,7 Step,9.0,0,4,13.0,10.0,1.3
448,DEN,Courtland Sutton,26.0,0/1 Step,12.8,0,17,29.8,26.0,1.146153846153846
449,DEN,Courtland Sutton,36.0,3 Step,24.899999999999995,6,21,51.9,36.0,1.4416666666666667
450,DEN,Courtland Sutton,25.0,5 Step,22.500000000000004,6,12,40.50000000000001,25.0,1.6200000000000003
451,DEN,Courtland Sutton,13.0,7 Step,13.8,0,4,17.8,13.0,1.3692307692307693
463,DET,D'Andre Swift,9.0,0/1 Step,2.8,0,9,11.8,9.0,1.3111111111111111
464,DET,D'Andre Swift,40.0,3 Step,19.500000000000007,0,31,50.50000000000001,40.0,1.2625000000000002
465,DET,D'Andre Swift,9.0,5 Step,5.8,0,7,12.799999999999999,9.0,1.422222222222222
466,DET,D'Andre Swift,6.0,7 Step,1.7000000000000002,0,4,5.699999999999999,6.0,0.9499999999999998
484,CAR,DJ Moore,34.0,0/1 Step,15.700000000000001,6,21,42.699999999999996,34.0,1.2558823529411764
485,CAR,DJ Moore,61.0,3 Step,43.500000000000014,12,33,88.50000000000001,61.0,1.4508196721311477
486,CAR,DJ Moore,35.0,5 Step,36.50000000000001,0,20,56.49999999999999,35.0,1.614285714285714
487,CAR,DJ Moore,8.0,7 Step,7.6000000000000005,0,3,10.600000000000001,8.0,1.3250000000000002
493,SEA,DK Metcalf,52.0,0/1 Step,32.1,30,32,94.10000000000001,52.0,1.8096153846153848
494,SEA,DK Metcalf,38.0,3 Step,30.899999999999995,18,23,71.9,38.0,1.892105263157895
495,SEA,DK Metcalf,20.0,5 Step,22.700000000000003,12,9,43.7,20.0,2.185
496,SEA,DK Metcalf,5.0,7 Step,6.9,6,3,15.9,5.0,3.18
501,PHI,Dallas Goedert,14.0,0/1 Step,11.600000000000001,6,11,28.599999999999998,14.0,2.0428571428571427
502,PHI,Dallas Goedert,28.0,3 Step,36.4,6,24,66.39999999999999,28.0,2.371428571428571
503,PHI,Dallas Goedert,15.0,5 Step,25.400000000000002,12,14,51.4,15.0,3.4266666666666667
504,PHI,Dallas Goedert,5.0,7 Step,9.0,0,4,13.0,5.0,2.6
510,DAL,Dalton Schultz,11.0,0/1 Step,9.3,0,11,20.3,11.0,1.8454545454545455
511,DAL,Dalton Schultz,37.0,3 Step,34.49999999999999,18,32,84.50000000000001,37.0,2.283783783783784
512,DAL,Dalton Schultz,24.0,5 Step,24.699999999999992,6,19,49.7,24.0,2.0708333333333333
513,DAL,Dalton Schultz,6.0,7 Step,6.6000000000000005,6,6,18.599999999999998,6.0,3.0999999999999996
520,MIN,Dalvin Cook,9.0,5 Step,4.6000000000000005,0,7,11.6,9.0,1.2888888888888888
521,MIN,Dalvin Cook,7.0,7 Step,2.9000000000000004,0,5,7.9,7.0,1.1285714285714286
528,NE,Damien Harris,3.0,7 Step,4.1000000000000005,0,4,8.1,3.0,2.6999999999999997
533,ATL,Damien Williams,7.0,5 Step,5.0,6,5,16.0,7.0,2.2857142857142856
535,ATL,Damiere Byrd,10.0,0/1 Step,6.4,0,7,13.4,10.0,1.34
536,ATL,Damiere Byrd,14.0,3 Step,11.5,0,11,22.5,14.0,1.6071428571428572
537,ATL,Damiere Byrd,7.0,5 Step,10.5,6,5,21.500000000000004,7.0,3.071428571428572
538,ATL,Damiere Byrd,3.0,7 Step,1.9000000000000001,0,1,2.9000000000000004,3.0,0.9666666666666668
542,JAX,Dan Arnold,7.0,0/1 Step,5.300000000000001,0,6,11.3,7.0,1.6142857142857143
543,JAX,Dan Arnold,25.0,3 Step,15.7,0,14,29.7,25.0,1.188
544,JAX,Dan Arnold,12.0,5 Step,11.900000000000002,0,8,19.900000000000002,12.0,1.6583333333333334
545,JAX,Dan Arnold,3.0,7 Step,2.9000000000000004,0,2,4.9,3.0,1.6333333333333335
552,CHI,Dante Pettis,8.0,0/1 Step,6.3999999999999995,6,8,20.4,8.0,2.55
556,NYG,Darius Slayton,8.0,0/1 Step,5.500000000000001,0,7,12.5,8.0,1.5625
557,NYG,Darius Slayton,28.0,3 Step,18.299999999999997,12,13,43.3,28.0,1.5464285714285713
558,NYG,Darius Slayton,8.0,5 Step,5.9,0,2,7.9,8.0,0.9875
559,NYG,Darius Slayton,4.0,7 Step,1.8,0,1,2.8,4.0,0.7
563,CHI,Darnell Mooney,28.0,0/1 Step,13.200000000000001,6,19,38.199999999999996,28.0,1.364285714285714
564,CHI,Darnell Mooney,46.0,3 Step,32.0,12,26,70.0,46.0,1.5217391304347827
565,CHI,Darnell Mooney,24.0,5 Step,21.2,0,10,31.200000000000003,24.0,1.3
566,CHI,Darnell Mooney,21.0,7 Step,16.5,0,7,23.500000000000004,21.0,1.1190476190476193
571,ARI,Darrel Williams,27.0,3 Step,18.200000000000006,0,21,39.2,27.0,1.451851851851852
572,ARI,Darrel Williams,12.0,5 Step,12.0,6,11,29.000000000000004,12.0,2.416666666666667
573,ARI,Darrel Williams,4.0,7 Step,2.3000000000000003,0,3,5.300000000000001,4.0,1.3250000000000002
576,LV,Darren Waller,15.0,0/1 Step,14.7,0,13,27.700000000000003,15.0,1.846666666666667
577,LV,Darren Waller,34.0,3 Step,26.000000000000004,12,21,59.0,34.0,1.7352941176470589
578,LV,Darren Waller,20.0,5 Step,18.1,0,12,30.100000000000005,20.0,1.5050000000000003
579,LV,Darren Waller,11.0,7 Step,13.900000000000002,0,7,20.9,11.0,1.9
584,LV,Davante Adams,18.0,0/1 Step,13.899999999999999,6,14,33.9,18.0,1.8833333333333333
585,LV,Davante Adams,68.0,3 Step,66.1,30,50,146.10000000000002,68.0,2.1485294117647062
586,LV,Davante Adams,36.0,5 Step,38.3,6,21,65.30000000000001,36.0,1.813888888888889
587,LV,Davante Adams,8.0,7 Step,16.9,6,7,29.9,8.0,3.7375
593,CHI,David Montgomery,8.0,0/1 Step,4.800000000000001,0,7,11.799999999999999,8.0,1.4749999999999999
594,CHI,David Montgomery,23.0,3 Step,13.100000000000001,0,19,32.10000000000001,23.0,1.3956521739130439
595,CHI,David Montgomery,10.0,5 Step,6.100000000000001,0,10,16.099999999999998,10.0,1.6099999999999999
596,CHI,David Montgomery,6.0,7 Step,8.600000000000001,0,7,15.600000000000001,6.0,2.6
601,CLE,David Njoku,23.0,3 Step,22.8,12,16,50.8,23.0,2.2086956521739127
602,CLE,David Njoku,12.0,5 Step,5.2,6,6,17.2,12.0,1.4333333333333333
603,CLE,David Njoku,3.0,7 Step,8.5,0,3,11.5,3.0,3.8333333333333335
612,BUF,Dawson Knox,16.0,0/1 Step,15.0,18,14,47.0,16.0,2.9375
613,BUF,Dawson Knox,29.0,3 Step,30.500000000000004,30,22,82.5,29.0,2.8448275862068964
614,BUF,Dawson Knox,11.0,5 Step,11.8,6,10,27.799999999999997,11.0,2.527272727272727
615,BUF,Dawson Knox,4.0,7 Step,6.5,6,5,17.500000000000004,4.0,4.375000000000001
626,LAC,DeAndre Carter,6.0,0/1 Step,1.6,0,3,4.6,6.0,0.7666666666666666
627,LAC,DeAndre Carter,20.0,3 Step,14.600000000000001,12,12,38.6,20.0,1.9300000000000002
628,LAC,DeAndre Carter,8.0,5 Step,8.8,0,5,13.8,8.0,1.725
633,NE,DeVante Parker,16.0,0/1 Step,10.200000000000001,6,10,26.200000000000006,16.0,1.6375000000000004
634,NE,DeVante Parker,31.0,3 Step,23.900000000000006,6,19,48.900000000000006,31.0,1.5774193548387099
635,NE,DeVante Parker,15.0,5 Step,9.100000000000001,0,4,13.100000000000001,15.0,0.8733333333333334
636,NE,DeVante Parker,3.0,7 Step,2.7,0,2,4.7,3.0,1.5666666666666667
640,PHI,DeVonta Smith,23.0,0/1 Step,14.3,6,16,36.300000000000004,23.0,1.5782608695652176
641,PHI,DeVonta Smith,30.0,3 Step,30.200000000000003,0,23,53.2,30.0,1.7733333333333334
642,PHI,DeVonta Smith,28.0,5 Step,28.600000000000005,6,15,49.60000000000001,28.0,1.7714285714285718
643,PHI,DeVonta Smith,12.0,7 Step,13.500000000000002,6,6,25.5,12.0,2.125
648,SEA,Dee Eskridge,9.0,0/1 Step,2.2,0,5,7.2,9.0,0.8
652,SF,Deebo Samuel,37.0,0/1 Step,51.400000000000006,12,32,95.40000000000003,37.0,2.578378378378379
653,SF,Deebo Samuel,38.0,3 Step,51.40000000000001,18,23,92.39999999999999,38.0,2.4315789473684206
654,SF,Deebo Samuel,17.0,5 Step,18.9,6,11,35.9,17.0,2.111764705882353
655,SF,Deebo Samuel,8.0,7 Step,15.8,0,7,22.8,8.0,2.85
660,LV,Demarcus Robinson,6.0,0/1 Step,2.2,0,5,7.200000000000001,6.0,1.2000000000000002
661,LV,Demarcus Robinson,17.0,3 Step,13.4,6,12,31.4,17.0,1.8470588235294116
662,LV,Demarcus Robinson,7.0,5 Step,9.4,6,5,20.4,7.0,2.914285714285714
663,LV,Demarcus Robinson,3.0,7 Step,5.6000000000000005,6,3,14.600000000000001,3.0,4.866666666666667
669,NYJ,Denzel Mims,9.0,5 Step,7.300000000000001,0,3,10.299999999999999,9.0,1.1444444444444444
670,NYJ,Denzel Mims,4.0,7 Step,2.4,0,2,4.4,4.0,1.1
673,NO,Deonte Harty,5.0,0/1 Step,3.4,0,5,8.4,5.0,1.6800000000000002
674,NO,Deonte Harty,22.0,3 Step,23.7,6,15,44.699999999999996,22.0,2.0318181818181817
675,NO,Deonte Harty,20.0,5 Step,15.700000000000001,6,8,29.700000000000003,20.0,1.485
676,NO,Deonte Harty,6.0,7 Step,12.9,6,6,24.9,6.0,4.1499999999999995
683,TEN,Derrick Henry,5.0,0/1 Step,3.0000000000000004,0,4,7.0,5.0,1.4
688,BAL,Devin Duvernay,21.0,0/1 Step,11.599999999999998,0,16,27.600000000000005,21.0,1.3142857142857145
689,BAL,Devin Duvernay,18.0,3 Step,11.700000000000001,6,11,28.700000000000003,18.0,1.5944444444444446
692,BUF,Devin Singletary,18.0,0/1 Step,8.8,0,17,25.8,18.0,1.4333333333333333
693,BUF,Devin Singletary,18.0,3 Step,8.200000000000001,0,16,24.2,18.0,1.3444444444444443
694,BUF,Devin Singletary,10.0,5 Step,5.9,0,8,13.9,10.0,1.3900000000000001
695,BUF,Devin Singletary,2.0,7 Step,2.7,0,3,5.7,2.0,2.85
706,PIT,Diontae Johnson,37.0,0/1 Step,15.300000000000002,12,26,53.3,37.0,1.4405405405405405
707,PIT,Diontae Johnson,80.0,3 Step,60.1,30,52,142.10000000000002,80.0,1.7762500000000003
708,PIT,Diontae Johnson,15.0,5 Step,13.6,0,8,21.6,15.0,1.4400000000000002
713,CLE,Donovan Peoples-Jones,7.0,0/1 Step,5.4,6,5,16.4,7.0,2.3428571428571425
714,CLE,Donovan Peoples-Jones,19.0,3 Step,13.900000000000002,0,11,24.900000000000006,19.0,1.310526315789474
715,CLE,Donovan Peoples-Jones,19.0,5 Step,28.300000000000004,12,11,51.30000000000001,19.0,2.7000000000000006
716,CLE,Donovan Peoples-Jones,4.0,7 Step,6.6000000000000005,0,2,8.600000000000001,4.0,2.1500000000000004
735,MIA,Durham Smythe,3.0,7 Step,1.3,0,1,2.3,3.0,0.7666666666666666
744,WAS,Dyami Brown,15.0,3 Step,4.5,0,5,9.5,15.0,0.6333333333333333
746,WAS,Dyami Brown,5.0,7 Step,9.100000000000001,0,4,13.100000000000001,5.0,2.62
756,NYJ,Elijah Moore,13.0,0/1 Step,4.4,12,11,27.4,13.0,2.1076923076923078
757,NYJ,Elijah Moore,25.0,3 Step,27.8,12,17,56.8,25.0,2.272
758,NYJ,Elijah Moore,16.0,5 Step,8.3,0,6,14.3,16.0,0.89375
759,NYJ,Elijah Moore,12.0,7 Step,9.600000000000001,0,4,13.6,12.0,1.1333333333333333
776,JAX,Evan Engram,13.0,0/1 Step,4.500000000000001,6,6,16.5,13.0,1.2692307692307692
777,JAX,Evan Engram,30.0,3 Step,14.500000000000002,6,17,37.5,30.0,1.25
778,JAX,Evan Engram,15.0,5 Step,7.6,0,10,17.6,15.0,1.1733333333333333
779,JAX,Evan Engram,5.0,7 Step,6.4,6,5,17.4,5.0,3.4799999999999995
785,DAL,Ezekiel Elliott,16.0,0/1 Step,4.2,0,11,15.2,16.0,0.95
