nickName,CoverageType_descr,FP_yards,FP_TD,FP_receiving,FP_total,Routes Run,FP/routes,plays,totalPlays,freq
Browns,Cover 2,17.9,6,17,40.900000000000006,311.0,0.13151125401929262,28,525,0.05333333333333334
Browns,Cover 3,113.30000000000001,42,95,250.30000000000004,457.0,0.5477024070021883,144,525,0.2742857142857143
Browns,Cover 4,130.20000000000005,54,112,296.19999999999993,273.0,1.0849816849816847,167,525,0.3180952380952381
Browns,Cover 6,25.799999999999997,6,17,48.8,39.0,1.2512820512820513,25,525,0.047619047619047616
Browns,Man Cover 2,13.5,6,7,26.500000000000007,48.0,0.5520833333333335,13,525,0.024761904761904763
Browns,Other,0.0,0,0,0.0,49.0,0.0,2,525,0.0038095238095238095
Browns,Prevent,4.0,0,3,7.0,52.0,0.1346153846153846,4,525,0.007619047619047619
Browns,Screen,26.799999999999997,0,39,65.80000000000001,96.0,0.6854166666666668,42,525,0.08
Buccaneers,Combination,0.0,0,0,0.0,99.0,0.0,2,572,0.0034965034965034965
Buccaneers,Cover 0,14.400000000000002,18,7,39.400000000000006,53.0,0.7433962264150944,12,572,0.02097902097902098
Buccaneers,Cover 1,58.99999999999999,42,52,153.0,512.0,0.298828125,82,572,0.14335664335664336
Buccaneers,Cover 2,41.39999999999999,0,41,82.4,238.0,0.34621848739495803,56,572,0.0979020979020979
Buccaneers,Cover 3,144.4000000000001,42,125,311.4,489.0,0.6368098159509202,179,572,0.3129370629370629
Buccaneers,Cover 4,61.6,24,75,160.60000000000002,311.0,0.5163987138263666,118,572,0.2062937062937063
Buccaneers,Cover 6,7.699999999999999,0,8,15.7,90.0,0.17444444444444443,13,572,0.022727272727272728
Buccaneers,Man Cover 2,33.3,6,25,64.3,279.0,0.23046594982078852,47,572,0.08216783216783216
Buccaneers,Prevent,2.3000000000000003,0,1,3.3000000000000003,122.0,0.027049180327868856,2,572,0.0034965034965034965
Buccaneers,Screen,34.4,12,51,97.40000000000003,189.0,0.5153439153439155,61,572,0.10664335664335664
Cardinals,Combination,0.0,0,0,0.0,63.0,0.0,1,450,0.0022222222222222222
Cardinals,Cover 0,5.5,36,11,52.50000000000001,127.0,0.4133858267716536,23,450,0.051111111111111114
Cardinals,Cover 1,112.69999999999999,42,96,250.69999999999996,303.0,0.8273927392739273,173,450,0.3844444444444444
Cardinals,Cover 2,15.499999999999998,0,13,28.5,191.0,0.14921465968586387,18,450,0.04
Cardinals,Cover 3,83.7,18,72,173.70000000000002,677.0,0.25657311669128513,110,450,0.24444444444444444
Cardinals,Cover 4,46.3,18,34,98.30000000000001,516.0,0.19050387596899226,52,450,0.11555555555555555
Cardinals,Cover 6,3.2,0,4,7.2,50.0,0.14400000000000002,7,450,0.015555555555555555
Cardinals,Man Cover 2,14.700000000000003,6,9,29.700000000000003,26.0,1.1423076923076925,15,450,0.03333333333333333
Cardinals,Other,0.5,0,1,1.5,62.0,0.024193548387096774,1,450,0.0022222222222222222
Cardinals,Prevent,0.0,0,0,0.0,85.0,0.0,2,450,0.0044444444444444444
Cardinals,Screen,33.4,18,43,94.40000000000002,217.0,0.4350230414746545,48,450,0.10666666666666667
Chargers,Combination,2.8000000000000003,0,1,3.8000000000000003,101.0,0.03762376237623763,4,358,0.0111731843575419
Chargers,Cover 0,0.5,6,1,7.5,81.0,0.09259259259259259,4,358,0.0111731843575419
Chargers,Cover 1,56.4,12,46,114.39999999999996,511.0,0.22387475538160462,81,358,0.22625698324022347
Chargers,Cover 2,8.100000000000001,0,9,17.099999999999998,285.0,0.05999999999999999,12,358,0.0335195530726257
Chargers,Cover 3,100.70000000000002,60,79,239.69999999999996,463.0,0.5177105831533476,131,358,0.3659217877094972
Chargers,Cover 4,63.0,42,52,157.00000000000003,439.0,0.35763097949886113,76,358,0.2122905027932961
Chargers,Cover 6,-0.5,0,1,0.5,92.0,0.005434782608695652,4,358,0.0111731843575419
Chargers,Man Cover 2,9.600000000000001,6,7,22.6,156.0,0.14487179487179488,11,358,0.030726256983240222
Chargers,Other,2.5,0,1,3.5,92.0,0.03804347826086957,2,358,0.00558659217877095
Chargers,Prevent,0.0,0,0,0.0,86.0,0.0,1,358,0.002793296089385475
Chargers,Screen,19.0,6,29,54.00000000000001,187.0,0.2887700534759359,32,358,0.0893854748603352
Chiefs,Combination,2.7,0,3,5.7,70.0,0.08142857142857143,5,459,0.010893246187363835
Chiefs,Cover 0,13.500000000000002,18,15,46.49999999999999,87.0,0.5344827586206896,38,459,0.08278867102396514
Chiefs,Cover 1,62.90000000000001,24,60,146.89999999999998,469.0,0.3132196162046908,118,459,0.2570806100217865
Chiefs,Cover 2,56.200000000000024,12,52,120.19999999999997,295.0,0.407457627118644,72,459,0.1568627450980392
Chiefs,Cover 3,67.60000000000001,42,57,166.60000000000002,601.0,0.2772046589018303,77,459,0.16775599128540306
Chiefs,Cover 4,45.2,18,39,102.19999999999996,528.0,0.193560606060606,63,459,0.13725490196078433
Chiefs,Cover 6,8.200000000000001,0,6,14.200000000000001,61.0,0.23278688524590166,10,459,0.02178649237472767
Chiefs,Man Cover 2,25.4,12,20,57.400000000000006,165.0,0.3478787878787879,30,459,0.06535947712418301
Chiefs,Other,2.8000000000000003,0,1,3.8000000000000003,69.0,0.05507246376811595,1,459,0.002178649237472767
Chiefs,Prevent,4.7,0,3,7.7,75.0,0.10266666666666667,7,459,0.015250544662309368
Chiefs,Screen,23.199999999999996,24,35,82.2,218.0,0.37706422018348623,38,459,0.08278867102396514
Colts,Cover 0,0.0,0,0,0.0,32.0,0.0,1,406,0.0024630541871921183
Colts,Cover 1,67.80000000000001,42,43,152.8,580.0,0.263448275862069,87,406,0.21428571428571427
Colts,Cover 2,65.9,12,56,133.89999999999998,232.0,0.577155172413793,74,406,0.18226600985221675
Colts,Cover 3,94.39999999999999,18,72,184.39999999999998,615.0,0.2998373983739837,122,406,0.30049261083743845
Colts,Cover 4,48.00000000000001,6,41,95.00000000000001,257.0,0.3696498054474709,57,406,0.14039408866995073
Colts,Cover 6,9.3,6,8,23.3,63.0,0.36984126984126986,13,406,0.03201970443349754
Colts,Man Cover 2,2.5,0,4,6.5,121.0,0.05371900826446281,6,406,0.014778325123152709
Colts,Other,0.30000000000000004,6,1,7.3,57.0,0.1280701754385965,1,406,0.0024630541871921183
Colts,Prevent,7.900000000000001,0,5,12.9,82.0,0.1573170731707317,5,406,0.012315270935960592
Colts,Screen,22.700000000000006,6,35,63.699999999999996,249.0,0.25582329317269076,40,406,0.09852216748768473
Cowboys,Combination,0.4,0,1,1.4,96.0,0.014583333333333332,1,361,0.002770083102493075
Cowboys,Cover 0,0.4,18,3,21.4,87.0,0.24597701149425286,4,361,0.0110803324099723
Cowboys,Cover 1,77.19999999999997,42,57,176.20000000000005,512.0,0.3441406250000001,92,361,0.2548476454293629
Cowboys,Cover 2,25.900000000000002,0,22,47.89999999999999,402.0,0.11915422885572137,30,361,0.08310249307479224
Cowboys,Cover 3,87.60000000000004,54,69,210.60000000000008,658.0,0.32006079027355633,106,361,0.29362880886426596
Cowboys,Cover 4,51.49999999999999,30,42,123.50000000000003,544.0,0.22702205882352947,63,361,0.1745152354570637
Cowboys,Cover 6,4.9,6,3,13.9,62.0,0.2241935483870968,9,361,0.024930747922437674
Cowboys,Man Cover 2,13.5,0,12,25.5,185.0,0.13783783783783785,18,361,0.04986149584487535
Cowboys,Other,2.7,6,1,9.7,78.0,0.12435897435897435,1,361,0.002770083102493075
Cowboys,Prevent,6.9,6,3,15.9,109.0,0.14587155963302753,3,361,0.008310249307479225
Cowboys,Screen,22.700000000000003,12,32,66.70000000000002,198.0,0.33686868686868693,34,361,0.09418282548476455
Dolphins,Combination,3.7,0,1,4.7,47.0,0.1,2,415,0.004819277108433735
Dolphins,Cover 0,16.0,24,13,53.00000000000001,66.0,0.8030303030303031,24,415,0.05783132530120482
Dolphins,Cover 1,115.99999999999999,36,71,223.00000000000009,594.0,0.37542087542087554,132,415,0.3180722891566265
Dolphins,Cover 2,6.3,6,9,21.3,228.0,0.09342105263157895,13,415,0.03132530120481928
Dolphins,Cover 3,131.29999999999998,12,94,237.3,351.0,0.6760683760683761,143,415,0.344578313253012
Dolphins,Cover 4,29.500000000000007,12,26,67.49999999999999,297.0,0.22727272727272724,41,415,0.09879518072289156
Dolphins,Cover 6,2.2,0,2,4.2,38.0,0.1105263157894737,3,415,0.007228915662650603
Dolphins,Man Cover 2,13.900000000000002,6,7,26.9,176.0,0.15284090909090908,16,415,0.03855421686746988
Dolphins,Other,3.9,0,2,5.9,40.0,0.14750000000000002,2,415,0.004819277108433735
Dolphins,Screen,36.6,6,33,75.6,86.0,0.8790697674418604,39,415,0.09397590361445783
Eagles,Combination,6.700000000000001,0,4,10.7,31.0,0.34516129032258064,6,437,0.013729977116704805
Eagles,Cover 0,7.8,18,10,35.800000000000004,72.0,0.4972222222222223,17,437,0.038901601830663615
Eagles,Cover 1,114.69999999999996,72,98,284.70000000000005,685.0,0.41562043795620446,145,437,0.3318077803203661
Eagles,Cover 2,13.3,0,17,30.300000000000004,234.0,0.1294871794871795,24,437,0.05491990846681922
Eagles,Cover 3,95.09999999999997,12,74,181.10000000000002,655.0,0.27648854961832064,115,437,0.2631578947368421
Eagles,Cover 4,35.400000000000006,6,36,77.4,395.0,0.1959493670886076,55,437,0.12585812356979406
Eagles,Cover 6,4.9,6,2,12.9,16.0,0.80625,2,437,0.004576659038901602
Eagles,Man Cover 2,17.5,12,6,35.5,155.0,0.22903225806451613,10,437,0.02288329519450801
Eagles,Other,0.0,0,0,0.0,16.0,0.0,1,437,0.002288329519450801
Eagles,Prevent,1.0,0,1,2.0,40.0,0.05,2,437,0.004576659038901602
Eagles,Screen,37.5,6,55,98.5,122.0,0.8073770491803278,60,437,0.13729977116704806
Falcons,Combination,1.4000000000000001,0,1,2.4000000000000004,67.0,0.03582089552238806,3,406,0.007389162561576354
Falcons,Cover 0,9.0,18,4,31.0,64.0,0.484375,5,406,0.012315270935960592
Falcons,Cover 1,81.50000000000001,30,71,182.50000000000003,406.0,0.44950738916256167,117,406,0.2881773399014778
Falcons,Cover 2,40.699999999999996,0,35,75.69999999999999,332.0,0.22801204819277104,42,406,0.10344827586206896
Falcons,Cover 3,114.30000000000001,90,86,290.2999999999999,552.0,0.5259057971014491,130,406,0.32019704433497537
Falcons,Cover 4,19.300000000000004,0,15,34.300000000000004,471.0,0.07282377919320596,26,406,0.06403940886699508
Falcons,Cover 6,1.8,0,2,3.8,77.0,0.049350649350649346,2,406,0.0049261083743842365
Falcons,Man Cover 2,22.599999999999998,0,14,36.6,338.0,0.10828402366863905,26,406,0.06403940886699508
Falcons,Other,0.4,6,1,7.4,69.0,0.10724637681159421,1,406,0.0024630541871921183
Falcons,Prevent,4.4,0,2,6.4,85.0,0.07529411764705883,3,406,0.007389162561576354
Falcons,Screen,30.300000000000008,6,47,83.3,134.0,0.6216417910447761,51,406,0.12561576354679804
Football Team,Combination,0.0,0,0,0.0,101.0,0.0,2,429,0.004662004662004662
Football Team,Cover 0,2.2,12,3,17.2,44.0,0.3909090909090909,5,429,0.011655011655011656
Football Team,Cover 1,65.80000000000001,48,46,159.79999999999998,592.0,0.2699324324324324,94,429,0.2191142191142191
Football Team,Cover 2,30.9,6,25,61.90000000000001,186.0,0.33279569892473126,38,429,0.08857808857808858
Football Team,Cover 3,91.50000000000004,6,77,174.49999999999997,775.0,0.22516129032258062,127,429,0.29603729603729606
Football Team,Cover 4,68.7,30,54,152.69999999999996,334.0,0.45718562874251484,97,429,0.2261072261072261
Football Team,Cover 6,4.9,0,4,8.9,69.0,0.1289855072463768,8,429,0.018648018648018648
Football Team,Man Cover 2,6.699999999999999,6,6,18.7,139.0,0.13453237410071942,12,429,0.027972027972027972
Football Team,Other,3.6,0,2,5.6,73.0,0.07671232876712328,2,429,0.004662004662004662
Football Team,Screen,22.799999999999997,0,40,62.800000000000004,209.0,0.30047846889952157,44,429,0.10256410256410256
Giants,Combination,1.5,6,1,8.5,53.0,0.16037735849056603,2,433,0.004618937644341801
Giants,Cover 0,4.4,36,9,49.400000000000006,59.0,0.8372881355932205,14,433,0.03233256351039261
Giants,Cover 1,42.50000000000001,30,27,99.49999999999999,568.0,0.17517605633802816,44,433,0.10161662817551963
Giants,Cover 2,37.00000000000001,0,39,76.00000000000001,106.0,0.7169811320754719,55,433,0.12702078521939955
Giants,Cover 3,144.49999999999997,18,127,289.50000000000006,564.0,0.5132978723404257,173,433,0.3995381062355658
Giants,Cover 4,38.400000000000006,12,29,79.4,311.0,0.25530546623794215,45,433,0.10392609699769054
