,nickName,route,dropBack,FP_yards,FP_TD,FP_intercept,FP_total,FP/DB,plays,totalPlays,freq
20,Bears,10.0,26,9.16,4,0,13.16,0.5061538461538462,26,351,0.07407407407407407
21,Bears,11.0,23,5.280000000000001,4,0,9.279999999999998,0.4034782608695651,23,351,0.06552706552706553
22,Bengals,1.0,48,12.479999999999999,4,0,16.48,0.3433333333333333,48,527,0.09108159392789374
23,Bengals,2.0,74,19.000000000000007,12,-2,29.0,0.3918918918918919,74,527,0.14041745730550284
24,Bengals,3.0,4,1.08,0,0,1.08,0.27,4,527,0.007590132827324478
25,Bengals,4.0,105,27.479999999999986,0,-3,24.479999999999986,0.233142857142857,105,527,0.19924098671726756
26,Bengals,5.0,71,18.0,12,-1,28.999999999999993,0.408450704225352,71,527,0.1347248576850095
27,Bengals,6.0,71,27.0,12,-2,36.99999999999999,0.5211267605633801,71,527,0.1347248576850095
28,Bengals,7.0,13,3.56,0,0,3.56,0.27384615384615385,13,527,0.024667931688804556
29,Bengals,8.0,12,7.6000000000000005,8,0,15.600000000000003,1.3000000000000003,12,527,0.022770398481973434
30,Bengals,9.0,60,26.400000000000006,24,-3,47.39999999999999,0.7899999999999998,60,527,0.11385199240986717
31,Bengals,10.0,26,5.480000000000001,4,0,9.48,0.3646153846153846,26,527,0.04933586337760911
32,Bengals,11.0,43,9.32,8,-1,16.319999999999997,0.37953488372093014,43,527,0.08159392789373814
33,Bills,1.0,28,5.28,0,0,5.28,0.18857142857142858,28,421,0.0665083135391924
34,Bills,2.0,77,21.48,8,-4,25.48,0.33090909090909093,77,421,0.1828978622327791
35,Bills,3.0,8,1.6,0,0,1.6,0.2,8,421,0.019002375296912115
36,Bills,4.0,81,20.280000000000005,4,-3,21.28,0.2627160493827161,81,421,0.19239904988123516
37,Bills,5.0,45,9.799999999999999,4,-1,12.799999999999997,0.2844444444444444,45,421,0.10688836104513064
38,Bills,6.0,62,23.080000000000002,4,-2,25.08,0.40451612903225803,62,421,0.14726840855106887
39,Bills,7.0,17,4.0,12,0,16.0,0.9411764705882353,17,421,0.040380047505938245
40,Bills,8.0,4,0.88,0,-2,-1.12,-0.28,4,421,0.009501187648456057
41,Bills,9.0,37,8.2,8,-3,13.2,0.3567567567567567,37,421,0.08788598574821853
42,Bills,10.0,34,10.039999999999997,4,0,14.039999999999997,0.41294117647058814,34,421,0.08076009501187649
43,Bills,11.0,28,6.08,0,0,6.08,0.21714285714285714,28,421,0.0665083135391924
44,Broncos,1.0,46,10.8,12,0,22.8,0.4956521739130435,46,411,0.11192214111922141
45,Broncos,2.0,68,16.4,12,0,28.400000000000002,0.4176470588235294,68,411,0.1654501216545012
46,Broncos,3.0,12,1.6400000000000001,0,0,1.6400000000000001,0.1366666666666667,12,411,0.029197080291970802
47,Broncos,4.0,59,12.719999999999999,4,0,16.720000000000002,0.2833898305084746,59,411,0.1435523114355231
48,Broncos,5.0,70,16.56,0,-2,14.56,0.20800000000000002,70,411,0.170316301703163
49,Broncos,6.0,54,24.52000000000001,4,-1,27.52000000000001,0.5096296296296298,54,411,0.13138686131386862
50,Broncos,7.0,12,4.04,8,0,12.04,1.0033333333333332,12,411,0.029197080291970802
51,Broncos,8.0,13,8.24,4,0,12.239999999999998,0.9415384615384614,13,411,0.031630170316301706
52,Broncos,9.0,37,14.600000000000001,16,-5,25.6,0.6918918918918919,37,411,0.09002433090024331
53,Broncos,10.0,17,2.84,0,-1,1.84,0.10823529411764707,17,411,0.0413625304136253
54,Broncos,11.0,23,5.2,4,0,9.2,0.39999999999999997,23,411,0.05596107055961071
55,Browns,1.0,48,8.4,8,0,16.399999999999995,0.34166666666666656,48,376,0.1276595744680851
56,Browns,2.0,49,10.639999999999999,4,-3,11.64,0.23755102040816328,49,376,0.13031914893617022
57,Browns,3.0,8,3.0,0,0,3.0,0.375,8,376,0.02127659574468085
58,Browns,4.0,76,19.79999999999999,8,-3,24.79999999999999,0.32631578947368406,76,376,0.20212765957446807
59,Browns,5.0,45,11.120000000000003,16,0,27.12,0.6026666666666667,45,376,0.1196808510638298
60,Browns,6.0,32,10.520000000000001,4,-3,11.52,0.36,32,376,0.0851063829787234
61,Browns,7.0,8,3.8799999999999994,4,0,7.88,0.985,8,376,0.02127659574468085
62,Browns,8.0,14,5.0,4,-5,4.0,0.2857142857142857,14,376,0.03723404255319149
