,nickName,touch,RunDirection_descr,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
28,Broncos,57,Left A Gap,29.499999999999996,0,0,29.499999999999996,0.5175438596491228
29,Broncos,58,Left D Gap,24.7,6,0,30.700000000000003,0.5293103448275862
30,Broncos,96,Left Off-Tackle Gap Unknown,48.39999999999999,18,0,66.39999999999998,0.6916666666666664
31,Broncos,27,Middle,-0.7000000000000001,6,0,5.300000000000006,0.19629629629629652
32,Broncos,80,Right A Gap,36.50000000000001,6,0,42.50000000000001,0.5312500000000001
33,Broncos,41,Right D Gap,13.100000000000001,0,-3,10.1,0.24634146341463414
34,Broncos,96,Right Off-Tackle Gap Unknown,42.699999999999996,18,0,60.70000000000002,0.6322916666666668
35,Browns,98,Left A Gap,40.400000000000006,18,0,58.39999999999998,0.5959183673469386
36,Browns,40,Left D Gap,23.200000000000006,12,0,35.20000000000001,0.8800000000000002
37,Browns,73,Left Off-Tackle Gap Unknown,30.900000000000002,0,0,30.900000000000002,0.42328767123287675
38,Browns,22,Middle,-1.6000000000000008,0,0,-1.6000000000000008,-0.07272727272727277
39,Browns,96,Right A Gap,39.10000000000001,18,0,57.100000000000044,0.5947916666666672
40,Browns,49,Right D Gap,28.6,18,0,46.59999999999999,0.951020408163265
41,Browns,72,Right Off-Tackle Gap Unknown,33.2,18,0,51.20000000000001,0.7111111111111112
42,Buccaneers,50,Left A Gap,13.199999999999998,6,0,19.199999999999996,0.3839999999999999
43,Buccaneers,80,Left D Gap,39.5,6,0,45.5,0.56875
44,Buccaneers,80,Left Off-Tackle Gap Unknown,39.60000000000001,30,0,69.6,0.8699999999999999
45,Buccaneers,14,Middle,0.4,6,-1,5.3999999999999995,0.3857142857142857
46,Buccaneers,64,Right A Gap,18.200000000000003,6,-1,23.200000000000003,0.36250000000000004
47,Buccaneers,68,Right D Gap,38.100000000000016,18,-1,55.100000000000016,0.810294117647059
48,Buccaneers,67,Right Off-Tackle Gap Unknown,28.0,6,-1,32.99999999999999,0.4925373134328357
49,Cardinals,79,Left A Gap,34.30000000000001,12,0,46.30000000000002,0.5860759493670888
50,Cardinals,59,Left D Gap,29.200000000000003,12,0,41.199999999999996,0.6983050847457627
51,Cardinals,98,Left Off-Tackle Gap Unknown,52.699999999999996,6,0,58.69999999999999,0.5989795918367345
52,Cardinals,13,Middle,0.4,0,-2,-1.6000000000000003,-0.1230769230769231
53,Cardinals,90,Right A Gap,40.09999999999999,24,0,64.1,0.7122222222222222
54,Cardinals,39,Right D Gap,16.099999999999998,6,0,22.099999999999994,0.5666666666666665
55,Cardinals,103,Right Off-Tackle Gap Unknown,49.500000000000014,6,-2,53.50000000000001,0.5194174757281554
56,Chargers,92,Left A Gap,36.699999999999996,12,-1,47.7,0.5184782608695653
57,Chargers,37,Left D Gap,13.200000000000005,12,0,25.200000000000006,0.6810810810810812
58,Chargers,122,Left Off-Tackle Gap Unknown,54.00000000000002,30,0,84.00000000000001,0.6885245901639345
59,Chargers,11,Middle,-1.2000000000000002,0,0,-1.2000000000000002,-0.10909090909090911
60,Chargers,100,Right A Gap,53.600000000000016,30,-2,81.59999999999998,0.8159999999999998
61,Chargers,51,Right D Gap,37.30000000000001,30,0,67.30000000000003,1.3196078431372553
62,Chargers,113,Right Off-Tackle Gap Unknown,56.800000000000026,30,0,86.80000000000001,0.7681415929203541
63,Chiefs,83,Left A Gap,40.0,18,-3,55.0,0.6626506024096386
64,Chiefs,55,Left D Gap,25.499999999999993,24,0,49.49999999999998,0.8999999999999996
65,Chiefs,93,Left Off-Tackle Gap Unknown,42.60000000000001,18,0,60.60000000000001,0.6516129032258066
66,Chiefs,13,Middle,-0.6,0,0,-0.6,-0.04615384615384615
67,Chiefs,81,Right A Gap,37.600000000000016,12,-1,48.6,0.6
68,Chiefs,69,Right D Gap,40.7,18,0,58.69999999999999,0.8507246376811592
69,Chiefs,111,Right Off-Tackle Gap Unknown,52.4,12,-1,63.39999999999999,0.5711711711711711
70,Colts,59,Left A Gap,18.400000000000002,18,0,36.4,0.6169491525423728
71,Colts,58,Left D Gap,45.60000000000001,12,0,57.60000000000001,0.9931034482758622
72,Colts,97,Left Off-Tackle Gap Unknown,45.30000000000002,12,-1,56.30000000000001,0.5804123711340208
73,Colts,15,Middle,-0.6,0,0,-0.6,-0.04
74,Colts,63,Right A Gap,20.0,18,0,38.00000000000001,0.6031746031746033
75,Colts,54,Right D Gap,26.2,0,-1,25.2,0.4666666666666667
76,Colts,82,Right Off-Tackle Gap Unknown,36.30000000000002,0,-2,34.30000000000002,0.4182926829268295
77,Cowboys,68,Left A Gap,26.300000000000008,12,0,38.300000000000004,0.5632352941176472
78,Cowboys,61,Left D Gap,33.900000000000006,6,0,39.9,0.6540983606557377
79,Cowboys,101,Left Off-Tackle Gap Unknown,46.30000000000001,6,0,52.300000000000004,0.5178217821782178
80,Cowboys,22,Middle,0.7000000000000004,6,0,6.700000000000003,0.3045454545454547
81,Cowboys,70,Right A Gap,34.599999999999994,24,0,58.600000000000016,0.8371428571428574
82,Cowboys,62,Right D Gap,36.09999999999999,24,0,60.099999999999994,0.9693548387096773
83,Cowboys,102,Right Off-Tackle Gap Unknown,42.0,12,-2,52.00000000000001,0.5098039215686275
84,Dolphins,58,Left A Gap,29.099999999999998,12,0,41.099999999999994,0.7086206896551723
85,Dolphins,53,Left D Gap,31.499999999999996,12,0,43.50000000000001,0.8207547169811322
86,Dolphins,96,Left Off-Tackle Gap Unknown,40.400000000000006,12,0,52.400000000000006,0.5458333333333334
87,Dolphins,17,Middle,-1.2000000000000002,6,-1,3.799999999999999,0.2235294117647058
88,Dolphins,77,Right A Gap,32.10000000000001,24,-1,55.10000000000001,0.7155844155844157
89,Dolphins,47,Right D Gap,21.7,12,-1,32.699999999999996,0.6957446808510638
90,Dolphins,92,Right Off-Tackle Gap Unknown,47.700000000000024,18,0,65.70000000000002,0.7141304347826088
91,Eagles,71,Left A Gap,30.3,36,0,66.30000000000003,0.9338028169014088
92,Eagles,60,Left D Gap,28.599999999999998,0,0,28.599999999999998,0.4766666666666666
93,Eagles,115,Left Off-Tackle Gap Unknown,42.30000000000001,24,0,66.30000000000001,0.5765217391304349
94,Eagles,22,Middle,-0.3999999999999998,0,0,-0.3999999999999998,-0.018181818181818174
95,Eagles,89,Right A Gap,33.2,42,-2,73.2,0.8224719101123595
