,team,playerName,blockingSchemeType_descr,touch,FP_yards,FP_TD,FP_fumbleLost,FP_total,FP/Touch
318,IND,Phillip Lindsay,Duo,7,2.1,0,0,2.1,0.3
319,IND,Phillip Lindsay,Pull Across,25,6.5,0,0,6.5,0.26
320,IND,Phillip Lindsay,Split Zone,9,2.6000000000000005,0,0,2.6000000000000005,0.288888888888889
321,IND,Phillip Lindsay,Zone,36,11.900000000000002,0,0,11.900000000000002,0.3305555555555556
322,SEA,Rashaad Penny,Duo,15,9.3,0,0,9.3,0.62
323,SEA,Rashaad Penny,Pull Across,15,11.0,6,0,16.999999999999996,1.133333333333333
324,SEA,Rashaad Penny,Split Zone,21,17.6,12,0,29.599999999999998,1.4095238095238094
325,SEA,Rashaad Penny,Zone,60,32.900000000000006,18,0,50.900000000000006,0.8483333333333334
326,HOU,Rex Burkhead,Duo,26,7.800000000000002,0,0,7.800000000000002,0.30000000000000004
327,HOU,Rex Burkhead,Pull Across,28,9.900000000000004,0,0,9.900000000000004,0.3535714285714287
328,HOU,Rex Burkhead,Split Zone,13,3.8,0,0,3.8,0.29230769230769227
329,HOU,Rex Burkhead,Zone,45,16.500000000000004,18,0,34.49999999999999,0.7666666666666665
330,NE,Rhamondre Stevenson,Duo,19,7.800000000000002,6,0,13.8,0.7263157894736842
331,NE,Rhamondre Stevenson,Pass Protection,8,5.6000000000000005,0,0,5.6000000000000005,0.7000000000000001
332,NE,Rhamondre Stevenson,Pull Across,32,13.299999999999999,0,0,13.299999999999999,0.41562499999999997
333,NE,Rhamondre Stevenson,Pull Front,6,1.7000000000000002,0,0,1.7000000000000002,0.2833333333333334
334,NE,Rhamondre Stevenson,Pull Outside Numbers,17,10.700000000000001,6,0,16.700000000000003,0.9823529411764708
335,NE,Rhamondre Stevenson,Split Zone,7,2.6,0,0,2.6,0.37142857142857144
336,NE,Rhamondre Stevenson,Zone,41,16.400000000000002,18,0,34.399999999999984,0.8390243902439021
337,ARI,Rondale Moore,Zone,6,4.7,0,0,4.7,0.7833333333333333
338,DEN,Russell Wilson,Pass Protection,20,15.200000000000006,12,0,27.200000000000003,1.36
339,DEN,Russell Wilson,Zone,12,0.8000000000000002,0,0,0.8000000000000002,0.06666666666666668
340,TEN,Ryan Tannehill,Pass Protection,14,13.500000000000004,12,0,25.5,1.8214285714285714
341,TEN,Ryan Tannehill,Zone,33,5.800000000000002,24,-1,28.79999999999999,0.8727272727272725
342,CAR,Sam Darnold,Pass Protection,19,16.7,12,0,28.700000000000003,1.510526315789474
343,CAR,Sam Darnold,Zone,21,0.8,12,-1,11.799999999999999,0.5619047619047619
344,CIN,Samaje Perine,Duo,7,4.500000000000001,0,0,4.500000000000001,0.642857142857143
345,CIN,Samaje Perine,Split Zone,11,4.6000000000000005,0,0,4.6000000000000005,0.4181818181818182
346,CIN,Samaje Perine,Zone,32,12.1,6,0,18.1,0.565625
347,NYG,Saquon Barkley,Duo,16,6.4,0,0,6.4,0.4
348,NYG,Saquon Barkley,Pull Across,37,15.0,0,0,15.0,0.40540540540540543
349,NYG,Saquon Barkley,Split Zone,28,9.299999999999999,6,-1,14.3,0.5107142857142858
350,NYG,Saquon Barkley,Zone,68,28.400000000000002,6,0,34.4,0.5058823529411764
351,MIA,Sony Michel,Duo,50,17.5,12,0,29.5,0.59
352,MIA,Sony Michel,Pull Across,14,3.7000000000000006,0,0,3.7000000000000006,0.26428571428571435
353,MIA,Sony Michel,Split Zone,22,6.3999999999999995,0,0,6.3999999999999995,0.2909090909090909
354,MIA,Sony Michel,Zone,148,64.89999999999999,12,-1,75.89999999999996,0.5128378378378375
